R	4A1_1A1	1B1_4A1	5B1_1A1	5B1_1B1	6B1_1A1	6B1_1B1	1B2_4A1	5B2_1A1	5B2_1B2	6B2_1A1	6B2_1B2	1A2_5B1	1A2_6B1	1A2_5B2	1A2_6B2	2A2_5B1	2A2_6B1	2A2_5B2	2A2_6B2	5A2_1B1	5A2_1B2	5A2_1A2	5A2_2A2	6A2_1B1	6A2_1B2	6A2_1A2	6A2_2A2
2.61	10747.1458919812	10822.482753479911	10750.942803098063	10826.279664596776	10788.712192169973	10864.049053668685	10822.484948227953	10750.942803098063	10826.281859344817	10788.712192169973	10864.051248416727	10845.16765124233	10882.937040314238	10845.16765124233	10882.937040314238	10750.942803098063	10788.712192169973	10750.942803098063	10788.712192169973	10832.14841619265	10832.150610940691	10851.036402838203	10756.811554693937	11033.6831899471	11033.685384695142	11052.571176592654	10958.346328448388
2.63	10782.797350865236	10844.460942922029	10775.798304926473	10837.461896983266	10829.422541271473	10891.086133328266	10844.46313767007	10775.798304926473	10837.464091731308	10829.422541271473	10891.088328076308	10853.694240619996	10907.318476964996	10853.694240619996	10907.318476964996	10775.798304926473	10829.422541271473	10775.798304926473	10829.422541271473	10854.712602887652	10854.714797635694	10870.944946524382	10793.049010830859	11051.282860515566	11051.285055263608	11067.515204152296	10989.619268458773
2.66	10833.131662516593	10876.949772398992	10812.7293009204	10856.5474108028	10887.842298293574	10931.660408175972	10876.954161895075	10812.7293009204	10856.551800298883	10887.840103545532	10931.662602924014	10868.864327053205	10943.977324426378	10868.864327053205	10943.975129678336	10812.7293009204	10887.842298293574	10812.7293009204	10887.840103545532	10887.954230343865	10887.958619839948	10900.27114659427	10844.136120461466	11080.383001686932	11080.387391183016	11092.699917937338	11036.564891804534
2.68	10864.907199454101	10898.388054272145	10837.167800970317	10870.648655788362	10925.115674707427	10958.596529525472	10898.39024899523	10837.167800970317	10870.650850511447	10925.113479959386	10958.596529500515	10880.43064004746	10968.37851378457	10880.43064004746	10968.376319036528	10837.167800970317	10925.115674707427	10837.167800970317	10925.113479959386	10909.802929776328	10909.805124499413	10919.584914035426	10876.322074958283	11101.211144103698	11101.213338826783	11110.993128362796	11067.730289285653
2.71	10910.34503211829	10930.326002439935	10873.556694622283	10893.537664943928	10978.726742589148	10998.707712910793	10930.330391911062	10873.556694622283	10893.542054415055	10978.726742589148	10998.71210238192	10899.687344064485	11004.85739203135	10899.687344064485	11004.85739203135	10873.556694622283	10978.726742589148	10873.556694622283	10978.726742589148	10942.243474846284	10942.24786431741	10948.393153966841	10922.262504524639	11134.018211797098	11134.022601268225	11140.167890917655	11114.037241475453
2.73	10939.383720394413	10951.549199154746	10897.62867204877	10909.794150809103	11013.059158948468	11025.224637708801	10951.553588625873	10897.62867204877	10909.79854028023	11013.059158948468	11025.229027179928	10913.654709544295	11029.085196443993	10913.654709544295	11029.085196443993	10897.62867204877	11013.059158948468	10897.62867204877	11013.059158948468	10963.732235874471	10963.736625345598	10967.592794609664	10951.566757114138	11156.66360411972	11156.667993590847	11160.524162854912	11144.498125359387
2.76	10981.367022386621	10983.30278861185	10933.440347440002	10935.376113665232	11062.631893628408	11064.567659853637	10983.30717810792	10933.440347440002	10935.380503161301	11062.629698905323	11064.569854626621	10936.019174342233	11065.210720530638	10936.019174342233	11065.208525807553	10933.440347440002	11062.631893628408	10933.440347440002	11062.629698905323	10995.799674051916	10995.804063547985	10996.442734728917	10993.863907826686	11191.366932598568	11191.371322094637	11192.00999327557	11189.431166373339
2.79	11021.743770060333	11015.021262150185	10968.85696845829	10962.134460548143	11110.080113876349	11103.357605966201	11015.025651646269	10968.85696845829	10962.138850044226	11110.080113876349	11103.361995462285	10968.85696845829	11110.080113876349	10968.85696845829	11110.080113876349	10959.83656117061	11101.059706588669	10959.83656117061	11101.059706588669	11027.748595934958	11027.752985431041	11034.471103845106	11025.450696557426	11226.594805460001	11226.599194956085	11233.31731337015	11224.296906082469
2.82	11060.759775046477	11046.70242499678	11003.85439297503	10989.797042925333	11155.603541639284	11141.546191589587	11046.706814467907	11003.85439297503	10989.80143239646	11155.601346916184	11141.548386337614	11003.85439297503	11155.603541639284	11003.85439297503	11155.601346916184	10984.845695262076	11136.59484392633	10984.845695262076	11136.59264920323	11059.59875425596	11059.603143727087	11073.656104305657	11054.647406592703	11262.020205495413	11262.02459496654	11276.077555545111	11257.068857832157
2.85	11098.586227517546	11078.330913915343	11038.401894467708	11018.146580865505	11199.355809130342	11179.100495528139	11078.335303411426	11038.401894467708	11018.150970361588	11199.3536143823	11179.10269027618	11038.401894467708	11199.355809130342	11038.401894467708	11199.3536143823	11010.820517718137	11171.774432380771	11010.820517718137	11171.77223763273	11091.35234371305	11091.356733209133	11111.607657315253	11084.026280565682	11297.408294814144	11297.412684310228	11317.663608416347	11290.082231666776
