4B1_10A1	4B1_11A1	11B1_4B1	4B2_10A1	4B2_11A1	11B2_4B2	4A2_11B1	4A2_11B2	11A2_4B1	11A2_4B2
3.06e-08	649514942398504.6	779116792760805.8	573326249548591.0	649514942398504.6	779116792760805.8	573326249548591.0	573439114328892.2	573439114328892.2	649530652523139.2	649530652523139.2
3.09e-08	646489918045038.4	776699915284120.4	571291375972678.5	646489918045038.4	776699915284120.4	571291375972678.5	571399279673878.2	571399279673878.2	646506455000491.8	646506455000491.8
3.13e-08	642218833350373.4	773187877293059.9	568301492663673.5	642218833350373.4	773187877293059.9	568301492663673.5	568404021851526.6	568404021851526.6	642237024005138.8	642237024005138.8
3.17e-08	637701347853695.5	769370318853160.0	565097042217332.8	637701347853695.5	769370318853160.0	565097042217332.8	565195437156903.4	565195437156903.4	637721605642020.8	637721605642020.8
3.2200000000000004e-08	631751761182213.6	764216160213647.9	560896239611598.56	631751761182213.6	764216160213647.9	560896239611598.56	560990086887478.44	560990086887478.44	631774499519506.8	631774499519506.8
3.26e-08	626827052936178.6	759849161128380.2	557508228861777.9	626827052936178.6	759849161128380.2	557508228861777.9	557600009022937.8	557600009022937.8	626851858388194.5	626851858388194.5
3.31e-08	620495875798171.8	754115381840463.6	553378535213467.56	620495875798171.8	754115381840463.6	553378535213467.56	553467834825656.8	553467834825656.8	620524402064225.0	620524402064225.0
3.3599999999999996e-08	614031576072703.9	748129000425203.0	549502270560991.5	614031576072703.9	748129000425203.0	549502270560991.5	549590329908114.0	549590329908114.0	614064236587037.0	614064236587037.0
3.42e-08	606192641119941.2	740686539213941.4	545349838575385.25	606192641119941.2	740686539213941.4	545349838575385.25	545437071072851.75	545437071072851.75	606230676147621.1	606230676147621.1
3.48e-08	598368589442154.5	733041913610189.1	541858471806895.3	598368589442154.5	733041913610189.1	541858058391487.25	541945290870116.6	541944877454708.56	598414066116743.6	598414066116743.6
3.54e-08	590667324740549.0	725273260765197.2	539071579740039.56	590667324740549.0	725273260765197.2	539071579740039.56	539158812218668.94	539158812218668.94	590721483289437.1	590721483289437.1
3.61e-08	581975495789464.8	716150230462393.2	536672892918119.5	581975495789464.8	716150230462393.2	536672892918119.5	536760952265242.0	536760952265242.0	582042470498608.8	582042470498608.8
3.6800000000000005e-08	573745461608550.6	707059860655088.0	535084103987737.06	573745461608550.6	707059860655088.0	535084103987737.06	535173403599926.3	535173403599926.3	573828146442326.5	573828146442326.5
3.76e-08	565074717314284.8	696818104650959.9	534074935686924.75	565074717314284.8	696818104650959.9	534074935686924.75	534165888998425.94	534165888998425.94	565179313616860.8	565179313616860.8
3.85e-08	556453583905219.06	685613483851427.4	533728486264866.44	556453583905219.06	685613483851427.4	533728486264866.44	533821506691090.4	533821506691090.4	556587119889253.7	556587119889253.7
3.95e-08	548472017622197.94	673706455446146.4	534046822836282.2	548472017622197.94	673706455446146.4	534046822836282.2	534141083527570.1	534141083527570.1	548644002068163.06	548644002068163.06
4.05e-08	542194172202260.3	662448502928547.4	535314381230870.1	542194172202260.3	662448502928547.4	535314381230870.1	535409882206062.0	535409882206062.0	542408325886513.6	542408325886513.6
4.17e-08	536794026194983.25	649906455060906.9	536474035905415.7	536794026194983.25	649906455060906.9	536474449339663.6	536569536880607.56	536569950314855.5	537058204217513.6	537058204217513.6
4.3099999999999996e-08	532976467773923.1	636690112438163.1	538590767484287.94	532976467773923.1	636690112438163.1	538590767484287.94	538683787910511.9	538683787910511.9	533293150664864.06	533293150664864.06
4.46e-08	531076370465946.44	624172043172879.9	541089089492008.2	531076370465946.44	624172043172879.9	541089089492008.2	541175908555229.56	541175908555229.56	531438529993802.2	531438529993802.2
4.64e-08	530759687575005.5	611260394130479.9	544127343439978.3	530759687575005.5	611260394130479.9	544127343439978.3	544202173211436.9	544202173211436.9	531162776113757.0	531162776113757.0
4.85e-08	531925130197145.6	598757621555586.1	547423160594391.1	531925130197145.6	598757621555586.1	547423160594391.1	547479386276839.06	547479386276839.06	532362532930707.9	532362532930707.9
5.11e-08	534408568967564.25	586489260472105.2	550775616884334.2	534408568967564.25	586489260472105.2	550775616884334.2	550806210265107.56	550806210265107.56	534873257683273.25	534873257683273.25
5.4299999999999997e-08	537798233416696.9	575202781669618.5	553427319267846.1	537798233416696.9	575202781669618.5	553427319267846.1	553431040081880.8	553431040081880.8	538271190610131.2	538271190610131.2
5.8499999999999994e-08	541612071023722.25	565093321403298.1	554401346505357.3	541612071023722.25	565093321403298.1	554401346505357.3	554385636380722.75	554385636380722.75	542127610908529.8	542127610908529.8
6.440000000000001e-08	545169999085942.7	556896361152125.25	552898136373126.75	545169999085942.7	556896361152125.25	552898136373126.75	552878705434460.2	552878705434460.2	545698355131003.4	545698355131003.4
7.37e-08	547622017607094.9	551363919425877.56	550098014730604.3	547622017607094.9	551363919425877.56	550098014730604.3	550085612004596.3	550085612004596.3	548153267616534.3	548153267616534.3
9.28e-08	547953997188422.5	549260830875757.06	548618369766488.44	547953997188422.5	549260830875757.06	548618369766488.44	548611341553827.1	548611341553827.1	548211973847950.25	548211973847950.25
