R	1B1_3A1	3B1_1A1	3B1_1B1	1B2_3A1	3B2_1A1	3B2_1B2	1A2_3B1	1A2_3B2	2A2_3B1	2A2_3B2
2.88	1996.5914355569694	2089.468709476918	2063.98112068676	1996.595825053053	2089.468709476918	2063.9855101828434	2089.468709476918	2089.468709476918	2054.556880083881	2054.556880083881
2.91	2002.0431853743648	2092.3657745956007	2062.4755247532303	2002.047574870434	2092.3657745956007	2062.4799142492993	2092.3657745956007	2092.3657745956007	2051.214281487162	2051.214281487162
2.94	2007.102075591829	2095.010443889143	2061.428630761031	2007.1064650879125	2095.0082491411013	2061.4308255090727	2095.010443889143	2095.0082491411013	2048.576196412774	2048.5740016647324
2.97	2011.8493118369806	2097.604634002724	2060.8558019714546	2011.8537013330642	2097.604634002724	2060.8601914675382	2097.604634002724	2097.604634002724	2046.5965352516941	2046.5965352516941
3.01	2017.5117572916497	2100.46658317768	2060.436605419978	2017.5161467877333	2100.4643884296383	2060.43880016802	2100.46658317768	2100.4643884296383	2044.6805217338842	2044.6783269858424
3.04	2021.3415895792132	2102.3694282321812	2060.3927105090406	2021.3459790752968	2102.3694282321812	2060.3971000051242	2102.3694282321812	2102.3694282321812	2043.7323913536238	2043.7323913536238
3.08	2025.9681147819065	2104.6080694625125	2060.6363273419993	2025.9725042779755	2104.6102642105543	2060.64291158611	2104.6080694625125	2104.6102642105543	2043.0322672774637	2043.0344620255055
3.12	2030.0503428945958	2106.5350567205314	2061.13892424418	2030.0547323906794	2106.5350567205314	2061.1433137402637	2106.5350567205314	2106.5350567205314	2042.8522980628622	2042.8522980628622
3.16	2033.6519215855078	2108.1745322097267	2061.832464076215	2033.6563110815914	2108.1745322097267	2061.8368535722984	2108.1745322097267	2108.1745322097267	2043.0849411805539	2043.0849411805539
3.2	2036.7596823414642	2109.566001344938	2062.6291569913446	2036.7640718375333	2109.5681960929796	2062.6357412354555	2109.566001344938	2109.5681960929796	2043.5941223268455	2043.5963170748873
3.24	2039.5294521735486	2110.7072694280505	2063.557534664171	2039.5360363927175	2110.7094641760923	2063.5663136313815	2110.7072694280505	2110.7094641760923	2044.4193469166057	2044.4215416646475
3.28	2041.919530893938	2111.4161724714213	2064.33447484691	2041.9239203900215	2111.420561967505	2064.343253839077	2111.4161724714213	2111.420561967505	2045.2292082950153	2045.2335977910989
3.33	2044.4939683000994	2112.294071014141	2065.61840145287	2044.4983577712264	2112.2984605102247	2065.6271804200805	2112.294071014141	2112.2984605102247	2046.7128568229964	2046.71724631908
3.37	2046.2431810915296	2112.794473143338	2066.6587111759873	2046.2475705876132	2112.7988626394217	2066.6674901681545	2112.794473143338	2112.7988626394217	2048.0143413633923	2048.018730859476
3.42	2048.0714047625515	2113.193916987395	2067.9404430089635	2048.077989006677	2113.1983064834785	2067.9514167491725	2113.193916987395	2113.1983064834785	2049.7262434630975	2049.730632959181
3.47	2049.561637509716	2113.3716914290126	2069.1870589231694	2049.568221728885	2113.3673019578855	2069.189253671211	2113.3716914290126	2113.3673019578855	2051.4864299947367	2051.4820405236096
3.53	2050.961885662051	2113.534102659294	2070.817755420212	2050.9684699061763	2113.5297131632105	2070.819950168254	2113.534102659294	2113.5297131632105	2053.8150558198977	2053.810666323814
3.58	2051.8749000985845	2113.362912461802	2071.9568287552684	2051.8749000985845	2113.3585229657183	2071.9524392591848	2113.362912461802	2113.3585229657183	2055.564268636299	2055.5598791402153
3.64	2052.6408665660856	2112.886652511166	2073.1705234738183	2052.6496455332963	2112.8822630150826	2073.1749129449454	2112.886652511166	2112.8822630150826	2057.568072025839	2057.563682529755
