R	4A1_2A1	2B1_4A1	5B1_2A1	5B1_2B1	6B1_2A1	6B1_2B1	2B2_4A1	5B2_2A1	5B2_2B2	6B2_2A1	6B2_2B2	5A2_2B1	5A2_2B2	6A2_2B1	6A2_2B2
2.23	9459.725270399998	9036.99299079999	10351.503366000004	9928.771086399996	9496.941583399996	9074.209303799988	9036.997380300003	10351.503366000004	9928.775475900009	9496.939388700004	9074.211498600009	9037.998184599986	9038.002574099999	9353.615870999987	9353.6202605
2.24	9483.823584800004	9095.851697000006	10325.423195800002	9937.451308000003	9518.199896100006	9130.228008300008	9095.856086500004	10325.423195800002	9937.455697500001	9518.1977014	9130.2302031	9096.927122699999	9096.931512199997	9398.316268800001	9398.3206583
2.25	9508.150152799994	9152.559551999992	10301.72432519999	9946.133724399988	9539.993726799992	9184.40312599999	9152.563941500004	10301.72432519999	9946.1381139	9539.9915321	9184.405320800011	9153.713988499992	9153.718378000005	9442.663312599994	9442.667702100007
2.26	9532.667663700006	9207.193371600006	10280.286043300002	9954.811751200003	9562.246259599997	9236.771967499997	9207.199955899996	10280.286043300002	9954.818335499993	9562.241870099999	9236.77416229999	9208.426819	9208.43340329999	9486.577991400001	9486.584575699992
2.27	9557.330027899996	9259.818998399991	10260.992028599998	9963.480999099993	9584.880678200003	9287.369648699998	9259.825582699996	10260.992028599998	9963.487583399998	9584.878483399996	9287.374038199996	9261.140235600004	9261.146819900008	9529.979099399992	9529.985683699997
2.29	9606.909346699991	9359.31562719999	10228.369319499994	9980.775599999994	9631.00546629999	9383.41174679999	9359.320016600002	10228.369319499994	9980.779989400005	9631.003271599999	9383.41394150001	9360.83000219999	9360.834391600001	9614.896028599993	9614.900418000005
2.3	9631.738511700009	9406.316119200012	10214.810177000007	9989.38778450001	9654.359761800006	9428.937369300009	9406.322703400001	10214.810177000007	9989.3943687	9654.357567	9428.941758699992	9407.935842000006	9407.942426199996	9656.256022600006	9656.262606799995
2.31	9656.536950099995	9451.569593100008	10202.943183699987	9997.9758267	9677.832573499996	9472.86521650001	9451.573982600006	10202.943183699987	9997.980216199998	9677.83037869999	9472.8674112	9453.30344270001	9453.307832200007	9696.803960500009	9696.808350000007
2.32	9681.25857240001	9495.130917700008	10192.660797200006	10006.533142500004	9701.362448500004	9515.234793800002	9495.1331125	10192.660797200006	10006.535337299996	9701.362448500004	9515.236988599994	9496.985478300005	9496.987673099997	9736.491557800007	9736.4937526
2.33	9705.868262699994	9537.061545699995	10183.8642541	10015.057537100001	9724.907686899998	9556.100969899999	9537.063740500002	10183.8642541	10015.059731900008	9724.907686899998	9556.103164700005	9539.0455964	9539.047791200006	9775.2771144	9775.279309200007
2.35	9754.598214800004	9616.250186999998	10170.353395900005	10032.005368099999	9771.862089200004	9633.514061399997	9616.252381800005	10170.353395900005	10032.007562900006	9771.862089200004	9633.516256200004	9618.519554600003	9618.52174940001	9850.060899799995	9850.063094600002
2.36	9778.646049999996	9653.626716500003	10165.437164100003	10040.41783060001	9795.185658100003	9670.16632460001	9653.631106	10165.437164100003	10040.422220100008	9795.185658100003	9670.170714100008	9656.049716399997	9656.054105899995	9886.037181100008	9886.041570600006
2.37	9802.445878900005	9689.594218900005	10161.662200599996	10048.810540599996	9818.368763299994	9705.517103299993	9689.596413600011	10161.662200599996	10048.812735300002	9818.368763299994	9705.519298	9692.1752405	9692.177435200007	9921.067526900006	9921.069721600012
