12B1_4A1	12B1_5B1	12B1_6B1	12B2_4A1	12B2_5B2	12B2_6B2	5A2_12B1	5A2_12B2	6A2_12B1	6A2_12B2	12A2_5B1	12A2_6B1	12A2_5B2	12A2_6B2	12A2_5A2	12A2_6A2
2.71e-08	712269004706592.2	719202127387647.4	699388775899372.0	712269004706592.2	719202127387647.4	699388775899372.0	710023698250214.8	710023698250214.8	673905312451662.9	673905312451662.9	708691645700313.5	688878294212038.1	708691645700313.5	688878294212038.1	699513216562880.9	663394830764329.0
2.7400000000000004e-08	711076276091327.1	719361709101982.4	696712681499651.8	711076276091327.1	719361709101982.4	696712681499651.8	708759447259913.9	708759447259913.9	672276007950627.5	672276007950627.5	708891329558983.6	686242301956653.0	708891329558983.6	686242301956653.0	698289067716915.1	661805628407628.8
2.76e-08	710196922962302.0	719228586534235.8	694890307931292.4	710196922962302.0	719228586534235.8	694890307931292.4	707842885962467.0	707842885962467.0	671010103262492.1	671010103262492.1	708782599010827.9	684444320407884.4	708782599010827.9	684444320407884.4	697396898439059.1	660564115739084.2
2.7900000000000002e-08	708715210880385.1	718681212987412.6	692076129870311.1	708715210880385.1	718681212987412.6	692076129870311.1	706317764340535.1	706317764340535.1	668867325992082.0	668867325992082.0	708269126241455.8	681664043124354.2	708269126241455.8	681664043124354.2	695905677594578.2	658455239246125.0
2.81e-08	707603513388613.9	718090843325036.5	690135103576174.8	707603513388613.9	718090843325036.5	690135103576174.8	705183328527013.0	705183328527013.0	667286805539630.5	667286805539630.5	707699841212395.4	679744101463533.6	707699841212395.4	679744101463533.6	694792326414371.9	656895803426989.4
2.84e-08	705731115498292.8	716879097198749.4	687110079205524.2	705731115498292.8	716879097198749.4	687110079205524.2	703285298339022.0	703285298339022.0	664703731568017.2	664703731568017.2	706517448199210.8	676748430205985.6	706517448199210.8	676748430205985.6	692923649339483.4	654342082568478.8
2.8700000000000002e-08	703600327527800.1	715290308261810.1	683934981883102.6	703600327527800.1	715290308261810.1	683935395307561.9	701135079437751.9	701135079437751.9	661878804480501.8	661878804480501.8	704956772101993.4	673601445723285.9	704956772101993.4	673601859147745.1	690801543277935.2	651545268320685.0
2.89e-08	702032209799720.1	714030191511401.1	681729777566361.9	702032209799720.1	714030191511401.1	681729777566361.9	699557452951809.0	699557452951809.0	659867496084704.8	659867496084704.8	703714846013685.1	671414432068645.9	703714846013685.1	671414432068645.9	689242107454093.0	649552150586988.8
2.92e-08	699456164039216.9	711850619492327.5	678281820307696.0	699456164039216.9	711850619492327.5	678281820307696.0	696970658160067.6	696970658160067.6	656664699337618.5	656664699337618.5	701562559985417.5	667993760800786.0	701562559985417.5	667993760800786.0	686682598653157.6	646376639830708.5
2.96e-08	695608839072604.5	708432015351462.5	673417885404419.9	695608839072604.5	708432015351462.5	673418298828879.1	693114237864755.5	693114237864755.5	652063702178867.8	652063702178867.8	698180750593215.9	663166620646173.2	698180750593215.9	663167034070632.5	682862973106508.9	641812437420621.1
2.99e-08	692422165870026.2	705507039620031.6	669568906744671.4	692422165870026.2	705507039620031.6	669568906744671.4	689922603568665.5	689922603568665.5	648377199199968.4	648377199199968.4	695283887706207.9	659345754830847.6	695283887706207.9	659345754830847.6	679699451654841.8	638154047286144.6
3.02e-08	688987438184653.2	702291840153269.5	665549183914893.1	688987438184653.2	702291840153269.5	665549183914893.1	686484155072560.9	686484155072560.9	644498454002660.9	644498454002660.9	692098041352548.2	655355385114171.9	692098041352548.2	655355385114171.9	676290356271839.6	634304655201939.6
3.06e-08	684037924488830.9	697582939299977.1	659928682852959.0	684037924488830.9	697582939299977.1	659928682852959.0	681531333981066.9	681531333981066.9	639041668894953.8	639041668894953.8	687432136605406.8	649777880158388.6	687432136605406.8	649777880158388.6	671380531286496.5	628890866200383.4
3.09e-08	680064505165579.0	693757525815601.9	655525715855044.0	680064505165579.0	693757525815601.9	655525715855044.0	677557087808896.4	677557087808896.4	634747845869653.9	634747845869653.9	683642277596319.8	645410467635761.9	683642277596319.8	645410467635761.9	667441839589614.2	624632597650371.8
3.13e-08	674442350401109.4	688297019887763.9	649418201165625.1	674442350401109.4	688297019887763.9	649418201165625.1	671935346468883.2	671935346468883.2	628773040323525.1	628773040323525.1	678233449688275.2	639354630966136.5	678233449688275.2	639354630966136.5	661871776269394.6	618709470124036.5
3.17e-08	668483668399485.9	682461538276268.6	643058911177979.0	668483668399485.9	682461538276268.6	643058911177979.0	665970463105074.0	665970463105074.0	622539844701923.2	622539844701923.2	672456260878520.1	633053633780230.5	672456260878520.1	633053633780230.5	655965185707325.6	612534567304174.9
