R	7A1_4A1	8A1_4A1	5B1_7A1	5B1_8A1	6B1_7A1	6B1_8A1	9B1_4A1	9B1_5B1	9B1_6B1	5B2_7A1	5B2_8A1	6B2_7A1	6B2_8A1	9B2_4A1	9B2_5B2	9B2_6B2	5A2_9B1	5A2_9B2	6A2_9B1	6A2_9B2	9A2_5B1	9A2_6B1	9A2_5B2	9A2_6B2	9A2_5A2	9A2_6A2
4.3099999999999996e-08	166139448212860.66	217689303130387.6	178879939665686.47	230429794583213.4	143451558739567.3	195001413657094.25	216903797283089.2	229644288735915.0	194215907809795.84	178879939665686.47	230429794583213.4	143451558739567.3	195001413657094.25	216903797283089.2	229644288735915.0	194215907809795.84	214532396465365.6	214532396465365.6	177319263568469.06	177319263568469.06	230713403541293.62	195285022615174.47	230713403541293.62	195285022615174.47	215601511270744.22	178388378373847.7
4.46e-08	160336627105435.72	205660728032226.2	172527264464685.28	217851365391475.75	138845187072245.0	184169287999035.47	205300222190541.34	217490859549790.9	183808782157350.62	172527264464685.28	217851365391475.75	138845187072245.0	184169287999035.47	205300222190541.34	217490859549790.9	183808782157350.62	202961895306053.97	202961895306053.97	167302410290566.7	167302410290566.7	218096525903055.34	184414448510615.06	218096525903055.34	184414448510615.06	203567561659318.4	167908076643831.12
4.64e-08	154128236927886.8	192222376651645.75	165539983221781.97	203634122945540.9	134231373764657.97	172325513488416.9	191614643176084.78	203026389469979.94	171717780012855.97	165539983221781.97	203634122945540.9	134231373764657.97	172325513488416.9	191614643176084.78	203026389469979.94	171717780012855.97	189329234575366.7	189329234575366.7	155491709713181.62	155491709713181.62	203844555826052.53	172535946368928.53	203844555826052.53	172535946368928.53	190147400931439.28	156309876069254.22
4.85e-08	148117050057548.44	178684803471362.1	158445625128557.3	189013378542370.97	130291028369938.52	160858781783752.16	177237819011116.53	187566394082125.4	159411797323506.62	158445625128557.3	189013378542370.97	130290614945479.22	160858368359292.88	177237819011116.53	187566394082125.4	159411383899047.3	175037162363428.16	175037162363428.16	143124540250876.94	143124540250876.94	189198179129913.8	161043582371295.03	189198179129913.8	161043168946835.72	176668947411216.56	144756325298665.34
5.11e-08	142600731879424.34	165511043533141.5	151344238828926.62	174254550482643.8	127592609068225.62	150502920721942.78	162830401464368.94	171573908413871.22	147822278653170.22	151344238828926.62	174254550482643.8	127592609068225.62	150502920721942.78	162830401464368.94	171573908413871.22	147822278653170.22	160769895595534.28	160769895595534.28	131548251153830.64	131548251153830.64	174417439587949.5	150665809827248.5	174417439587949.5	150665809827248.5	163613426769612.56	134391782327908.92
5.4299999999999997e-08	138382978893508.73	154241928564853.16	144892755262086.4	160751704933430.84	126992730652687.62	142851680324032.06	150380547180730.44	156890323549308.12	138990298939909.33	144892755262086.4	160751704933430.84	126992730652687.62	142851680324032.06	150380547180730.44	156890323549308.12	138990298939909.33	148537502403511.78	148537502403511.78	129694870774534.25	129694870774534.25	160885240930337.88	142985216320939.06	160885240930337.88	142985216320939.06	152532419784541.5	133689788155564.0
5.8499999999999994e-08	135915663676462.9	145537696906071.78	139383051861208.0	149005085090816.88	128684875619814.45	138306908849423.33	141204598590050.9	144671986774796.0	133973810533402.47	139383051861208.0	149005085090816.88	128684875619814.45	138306908849423.33	141204598590050.9	144671986774796.0	133973810533402.47	139654671519373.28	139654671519373.28	129525366882578.02	129525366882578.02	149145649298828.25	138447473057434.69	149145649298828.25	138447473057434.69	144128334043405.5	133999029406610.25
6.440000000000001e-08	135368290129639.73	139925464328619.95	135287258996746.5	139844433195726.72	131767365947987.64	136324540146967.86	136421694814969.69	136340663682076.45	132820770633317.6	135287258996746.5	139844433195726.72	131767365947987.64	136324540146967.86	136421694814969.69	136340663682076.45	132820770633317.6	135174394208693.27	135174394208693.27	131054209319939.84	131054209319939.84	139971767825746.92	136451874776988.06	139971767825746.92	136451874776988.06	138805498352363.72	134685313463610.3
7.37e-08	135998761926954.34	137002969143944.95	134827944789222.61	135832152006213.22	132597521599271.36	133601728816261.98	135244262885894.6	134073445748162.86	131843022558211.61	134827944789222.61	135832152006213.22	132597521599271.36	133601728816261.98	135244676310351.16	134073859172619.42	131843435982668.17	134218144191367.88	134218557615824.44	133270576082981.31	133270989507437.88	135944189945345.11	133713766755393.88	135944189945345.11	133713766755393.88	136088888388550.12	135141320280163.58
9.28e-08	135320332929977.25	137126582958532.48	133550877645387.11	135357127673942.34	132519797862049.81	134326047890605.05	135504720093060.8	133735264808470.67	132704185025133.38	133550877645387.11	135357127673942.34	132519797862049.81	134326047890605.05	135505133517520.11	133735678232929.97	132704598449592.67	135699029433765.52	135699442858224.83	132309364981540.92	132309778406000.22	133911796911531.27	132880717128193.97	133911796911531.27	132880717128193.97	135875561536826.11	132485897084601.52
1e-06	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19	134093171985349.19
