10A1_7A1	10A1_8A1	11A1_7A1	11A1_8A1	9B1_10A1	9B1_11A1	11B1_7A1	11B1_8A1	11B1_9B1	9B2_10A1	9B2_11A1	11B2_7A1	11B2_8A1	11B2_9B2	9A2_11B1	9A2_11B2	11A2_9B1	11A2_9B2	11A2_9A2
2.7900000000000002e-08	270034999497657.97	220002824560106.94	392356450898782.6	342324275961231.56	193648689900110.0	315970141301234.6	178950221764279.75	128918046826728.7	102563912166731.77	193649103315518.03	315970554716642.7	178950221764279.75	128918046826728.7	102564325582139.81	117120575821959.42	117120575821959.42	193658198661739.22	193658612077147.28	208214862316966.9
2.81e-08	269495481010493.22	218702605670025.6	392511484955046.4	341718609614578.75	192419993382860.56	315435997327413.75	180155353113414.4	129362477772946.8	103079865485781.78	192419993382860.56	315435997327413.75	180155353113414.4	129362477772946.8	103079865485781.78	117750634205217.36	117750634205217.36	192429915559897.88	192429915559897.88	207100684279333.47
2.84e-08	268467708620667.56	216585460694579.7	392461874051014.56	340579626124926.7	190457055595188.06	314451221025535.06	181481204305170.38	129598956379082.52	103470551279690.89	190457055595188.06	314451221025535.06	181481204305170.38	129598956379082.52	103470551279690.89	118294700356075.55	118294700356075.55	190467391206473.28	190467391206473.28	205291540282857.94
2.8700000000000002e-08	267186093800762.4	214274006370128.9	392092686291663.06	339180598861029.56	188353553629656.78	313260146120557.44	182272084654612.38	129359997223978.88	103439544483506.75	188353553629656.78	313260146120557.44	182272084654612.38	129359997223978.88	103439544483506.75	118396816109680.81	118396816109680.81	188364302656352.78	188364302656352.78	203321574282526.88
2.89e-08	266196769872864.56	212628164926479.62	391679675594708.7	338111070648323.75	186875975780263.7	312358881502107.8	182525513650449.47	128956908704064.53	103204719557848.58	186875975780263.7	312358881502107.8	182525513650449.47	128956908704064.53	103204719557848.58	118240128372942.25	118240128372942.25	186887551656615.7	186887551656615.7	201922960471709.34
2.92e-08	264518267896047.7	210009536453877.3	390822647385781.44	336313915943611.06	184554185863359.3	310858565353093.06	182527167349761.4	128018435907591.03	102563085317073.05	184554599278770.12	310858978768503.9	182527167349761.4	128018435907591.03	102563498732483.84	117699783017281.62	117699783017281.62	184566175173956.5	184566588589367.28	199702872874165.06
2.96e-08	261937261054548.8	206250684264227.62	389268172650207.0	333581595859885.9	181279453328087.9	308610364923746.1	181893801586713.97	126207224796392.78	101235993860253.05	181279453328087.9	308610364923746.1	181893388171303.2	126206811380982.0	101235580444842.27	116477701297285.48	116477287881874.69	181292269469506.66	181292269469506.66	196533976906539.06
2.99e-08	259761823263103.28	203243850565526.72	387815813668243.4	331297840970666.8	178706301530074.66	306760291935214.75	180999978596336.47	124482005898759.9	99944456863307.84	178706301530074.66	306760291935214.75	180999978596336.47	124482005898759.9	99944456863307.84	115243216832441.5	115243216832441.5	178719944521149.4	178719944521149.4	194018704490283.03
3.02e-08	257395383540105.66	200086530474249.97	386135657992109.06	328826804926253.4	176050464917122.72	304790739369126.1	179795260700281.4	122486407634425.72	98450342077298.45	176050464917122.72	304790739369126.1	179795260700281.4	122486407634425.72	98450342077298.45	113786310205618.84	113786310205618.84	176064934757850.7	176064934757850.7	191400902886171.1
3.06e-08	253968510912949.2	195662892253452.0	383570361275250.3	325264742615753.1	172411092267350.6	302012942629651.7	177779818063035.47	119474199403538.3	96222399417436.88	172411092267350.6	302012942629651.7	177779818063035.47	119474199403538.3	96222399417436.88	111575317954295.78	111575317954295.78	172426802391985.2	172426802391985.2	187779720928844.1
3.09e-08	251210971961800.0	192199224901356.72	381420969200881.94	322409222140438.7	169633295546713.28	299843292785795.25	176012429889440.12	117000682828996.81	94434753474353.39	169633708980961.22	299843706220043.2	176012429889440.12	117000682828996.81	94435166908601.33	109774442435548.36	109774442435548.36	169649832502166.72	169650245936414.66	184989521463361.7
3.13e-08	247314449520998.72	187409292904423.12	378283493463685.3	318378336847109.7	165906690437154.4	296875734379840.94	173397108834298.8	113491952217723.19	91989349750454.47	165906690437154.4	296875734379840.94	173397108834298.8	113491952217723.19	91989349750454.47	107273226444609.5	107273226444609.5	165924881091919.78	165924881091919.78	181208757786074.8
