4B1_1A1	4B1_1B1	4B2_1A1	4B2_1B2	1A2_4B1	1A2_4B2	2A2_4B1	2A2_4B2	4A2_1B1	4A2_1B2	4A2_1A2	4A2_2A2
2.71e-08	1881734247361030.8	1885500541194744.5	1881734247361030.8	1885501368043663.0	1886659369037262.2	1886659369037262.2	1881734247361030.8	1881734247361030.8	1885213624850389.2	1885214451699307.8	1886372452692907.0	1881447331016675.5
2.7400000000000004e-08	1888605356424910.2	1890220604503734.2	1888605356424910.2	1890221431352652.8	1890741105484210.8	1890741105484210.8	1888605356424910.2	1888605356424910.2	1889963868116699.0	1889964694965617.5	1890484369097175.5	1888348620037875.0
2.76e-08	1893109612335420.2	1893476319539290.8	1893109612335420.2	1893476732963750.0	1893597866231584.5	1893597866231584.5	1893109612335420.2	1893109612335420.2	1893237360389899.8	1893237773814359.0	1893358907082193.5	1892870653186029.0
2.7900000000000002e-08	1899753338115964.8	1898488673701204.5	1899753338115964.8	1898489087125664.0	1899753338115964.8	1899753338115964.8	1898056232060027.5	1898056232060027.5	1898272452882966.5	1898272866307425.8	1899537117297726.8	1897840011241789.2
2.81e-08	1904107934489760.8	1901896942239992.0	1904107934489760.8	1901897769084209.5	1904107934489760.8	1904107934489760.8	1901125079385747.2	1901125079385747.2	1901694364419506.0	1901695191263723.5	1903905356669274.8	1900922501565261.5
2.84e-08	1910527997825903.0	1907081280845313.5	1910527997825903.0	1907082107694232.0	1910527997825903.0	1910527997825903.0	1905845142690036.0	1905845142690036.0	1906896066833311.2	1906896893682229.8	1910342783813901.0	1905659928678034.0
2.8700000000000002e-08	1916813284891757.8	1912323498827918.5	1916813284891757.8	1912324325676837.2	1916813284891757.8	1916813284891757.8	1910674763391401.8	1910674763391401.8	1912153581511505.8	1912154408360424.2	1916643367575344.8	1910504846074989.0
2.89e-08	1920928508696404.2	1915835536821355.5	1920928508696404.2	1915836363670274.0	1920928508696404.2	1920928508696404.2	1913940400604582.2	1913940400604582.2	1915674714833642.5	1915675541682561.0	1920767686708691.2	1913779578616869.2
2.92e-08	1926988479610617.2	1921112895854786.8	1926988479610617.2	1921113722703705.5	1926988479610617.2	1926988479610617.2	1918887020333888.0	1918887020333888.0	1920963649747233.2	1920964476596151.8	1926839233503063.8	1918737774226334.2
2.96e-08	1934895216122188.0	1928154749084000.5	1934895216122188.0	1928155575932919.0	1934895216122188.0	1934895216122188.0	1925550177059313.2	1925550177059313.2	1928018732545038.8	1928019559393957.2	1934759199583226.2	1925414160520351.5
2.99e-08	1940633543060980.5	1933382497224635.8	1940633543060980.5	1933383324073554.5	1940633543060980.5	1940633543060980.5	1930547647954798.0	1930547647954798.0	1933254749165455.2	1933255576014374.0	1940505795001799.8	1930419899895617.5
3.02e-08	1946232132645378.5	1938561874741146.8	1946232132645378.5	1938562701590065.2	1946232132645378.5	1946232132645378.5	1935533956403984.8	1935533956403984.8	1938441154893073.2	1938441981741991.8	1946111412797305.0	1935413236555911.5
3.06e-08	1953483591906185.0	1945374690998587.8	1953483591906185.0	1945375517847506.2	1953483591906185.0	1953483591906185.0	1942140887445265.5	1942140887445265.5	1945261826210537.2	1945262653059455.8	1953370727118134.5	1942028022657215.0
3.09e-08	1958753095884294.5	1950394486796067.8	1958753095884294.5	1950395313644986.5	1958753095884294.5	1958753095884294.5	1947042030516966.0	1947042030516966.0	1950286583096828.0	1950287409945746.5	1958645192185054.5	1946934126817726.0
