R	5A1_3A1	6A1_3A1	3B1_5A1	3B1_6A1	7B1_3A1	7B1_3B1	3B2_5A1	3B2_6A1	7B2_3A1	7B2_3B2	7A2_3B1	7A2_3B2
3.02	9474.0920796	9607.954045899998	9432.51700050001	9566.37896680001	9743.273323799993	9701.698244700005	9432.51700050001	9566.37896680001	9743.271129100001	9701.696050000013	9430.355175400007	9430.355175400007
3.06	9511.92292160001	9648.317625200012	9475.158726299996	9611.5534299	9783.38889670001	9746.624701399996	9475.158726299996	9611.5534299	9783.38889670001	9746.624701399996	9473.0298224	9473.0298224
3.09	9539.857652499995	9677.801846999995	9506.148544099997	9644.092738599997	9812.8248341	9779.115725700001	9506.148544099997	9644.092738599997	9812.8248341	9779.115725700001	9504.048171899994	9504.048171899994
3.13	9576.472605000003	9716.08700140001	9546.167548099998	9685.781944500006	9851.210946899999	9820.905889999995	9546.165353399992	9685.7797498	9851.210946899999	9820.903695299989	9544.113265599997	9544.111070899991
3.17	9612.286475200002	9753.176019199993	9584.724851200008	9725.614395199998	9888.567723700005	9861.006099700011	9584.722656400001	9725.612200399992	9888.567723700005	9861.003904900004	9582.716658300007	9582.7144635
3.22	9655.83902069999	9797.85008009999	9630.944013500004	9772.955072900004	9933.783886899997	9908.88887970001	9630.941818699997	9772.952878099997	9933.786081599988	9908.888879599996	9628.995078800013	9628.992884000007
3.26	9689.631529499995	9832.2241966	9666.3606345	9808.953301600006	9968.735221800001	9945.464326800007	9666.573524899999	9809.166192000004	9968.737416499993	9945.679411899997	9664.462178999995	9664.675069399993
3.31	9730.506484700003	9873.5029851	9708.921154800002	9851.917655199999	10010.89190870001	9989.30657880001	9708.916765300004	9851.913265700001	10010.894103500003	9989.304384100004	9707.10390480001	9707.099515300011
3.36	9769.781469600013	9912.841617700004	9749.212307300011	9892.272455400001	10051.255487900009	10030.686325600007	9749.207917800013	9892.268065900003	10051.2576826	10030.6841308	9747.456510300006	9747.452120800008
3.42	9814.7715741	9957.5354314	9794.902535899993	9937.666393199994	10097.342965500007	10077.473927300001	9794.895951599989	9937.659808899989	10097.345160199999	10077.469537699988	9793.214775999993	9793.208191699989
3.48	9857.367210200013	9999.492396400005	9837.546456400014	9979.671642600006	10140.834058100008	10121.01330430001	9837.550845900012	9979.676032100004	10140.831863400002	10121.015499100002	9835.924538900013	9835.928928400012
3.54	9897.546430799994	10038.736655	9877.657639799989	10018.847863999996	10181.715597500006	10161.826806500001	9877.655445099997	10018.845669300004	10181.715597500006	10161.82461180001	9876.099369899996	9876.097175200004
3.61	9941.368930099998	10081.136958700008	9921.085084799997	10060.853113400008	10226.1043413	10205.820496	9921.08727959999	10060.8553082	10226.1043413	10205.822690799992	9919.597046800001	9919.599241599994
