10A1_6A1	11A1_5A1	7B1_10A1	7B1_11A1	11B1_5A1	11B1_6A1	11B1_7B1	7B2_10A1	7B2_11A1	11B2_5A1	11B2_6A1	11B2_7B2	7A2_11B1	7A2_11B2	11A2_7B1	11A2_7B2	11A2_7A2
2.96e-08	409755818883125.44	561356794099090.06	384110706603488.5	511441618195868.3	441996699753049.4	417726636129464.56	392081523849827.6	384110706603488.5	511441618195868.3	441996286333291.1	417726222709706.3	392081110430069.4	411269364624900.6	411268951205142.4	384123522752324.8	384123522752324.8	403311363527397.8
2.99e-08	405763795473313.56	558598841722256.3	380210049923949.3	508264040321989.8	438386680242694.7	413605624391792.56	388051878842428.25	380210049923949.3	508264040321989.8	438386680242694.7	413605624391792.56	388051878842428.25	407269486159761.4	407269486159761.4	380223692917000.4	380223692917000.4	399441300234333.5
3.02e-08	401716786652729.4	555672625722145.9	376226708418375.2	504966982878116.8	434635683099866.6	409420118490191.8	383930040255837.6	376227121842834.5	504967396302576.1	434635683099866.6	409420118490191.8	383930453680296.94	403183615468217.25	403183615468217.25	376241178265045.94	376241591689505.25	395494753477425.56
3.06e-08	396230648431922.56	551525154833187.06	370787287123852.94	500389137470274.6	429423645079282.6	403730989024439.8	378287627716370.2	370787287123852.94	500389137470274.6	429423645079282.6	403730989024439.8	378287627716370.2	397597015188435.25	397597015188435.25	370802997243898.9	370802997243898.9	390112384715963.94
3.09e-08	392046796223458.0	548241326957905.9	366612530248789.25	496822527490530.1	425365887227460.4	399381353734753.3	373947087760084.6	366612530248789.25	496822527490530.1	425365887227460.4	399381353734753.3	373947087760084.6	393304019007352.9	393304019007352.9	366629067217756.56	366629067217756.56	385985998465024.8
3.13e-08	386379164810782.75	543647358014960.56	360925881325092.0	491894925272246.6	419771431882954.4	393472282625931.2	368018999140240.44	360925881325092.0	491894925272246.6	419771431882954.4	393472282625931.2	368018999140240.44	387447866187001.06	387447866187001.06	360944071982494.4	360944071982494.4	380372939029255.0
3.17e-08	380617686116375.25	538826005793375.94	355113964884268.94	486782935886175.75	413984320895580.8	387444972220487.0	361941250988380.6	355113964884268.94	486782935886175.75	413984734320040.1	387445385644946.25	361941664412839.94	381449908894659.3	381450322319118.6	355134222668668.9	355134222668668.9	374642880574947.56
3.2200000000000004e-08	373278580940728.7	532493588376777.5	347672743951812.7	480137142978636.3	406499277003354.0	379748668594128.9	354142831605212.9	347672330527350.6	480136729554174.25	406499690427813.3	379749082018588.2	354142831605210.1	373763114021463.06	373763527445922.4	347695482278267.4	347695068853805.3	367315764694517.56
3.26e-08	367358760805366.75	527241034792091.9	341644193268289.5	474666301453416.1	400361582351914.06	373501416550315.6	347786849013238.3	341643779843830.2	474665888028956.8	400361995776373.4	373501829974774.9	347786849013238.3	367505526375569.3	367505939800028.6	341668998717040.7	341668585292581.4	361387676079371.7
3.31e-08	359905550568291.75	520461292463186.1	334025613379152.94	467645119428360.75	392532983002026.9	365596747156340.25	339716809967201.5	334025199954693.6	467644706003901.44	392533396426486.2	365597160580799.56	339716809967201.5	359568609901980.2	359569023326439.5	334054139643334.06	334053726218874.8	353905939578112.8
3.3599999999999996e-08	352432909400439.2	513478558889332.4	326359903139275.25	460457327487268.0	384569607386553.1	357621382245652.6	331548375984488.7	326359489714815.94	460456914062808.7	384570020811012.44	357621795670111.94	331548375984488.7	351545701211388.3	351546114635847.56	326392563643348.4	326392150218889.06	346389888870248.0
3.42e-08	343507495825207.0	504893806800545.5	317171965243977.0	451665863333402.1	374912846530574.56	348020433644661.25	321684903063431.2	317171551819520.44	451665449908945.56	374913673374792.1	348021260488878.75	321685316483192.2	341871989966687.0	341872816810904.56	317210000266021.06	317209586841564.5	337397087169276.9
3.48e-08	334708176616022.0	496153607246717.6	308083662568140.2	442756986731838.3	365233347348141.4	338461240881143.8	311836726833262.0	308084075992602.25	442757400156300.4	365233347348141.4	338461240881143.8	311837140257724.06	332229285528218.9	332229285528218.9	308129139225747.94	308129552650209.94	328521697920704.75
3.54e-08	326124251380854.75	487326175193107.0	299191322930842.56	433797258959396.9	355621649720615.7	329025661936917.75	302092733486905.56	299191322930842.56	433797258959396.9	355622476564833.25	329026488781135.3	302093560331123.1	322706474093609.4	322707300937826.94	299245481492693.56	299245481492693.56	319859222099397.4
3.61e-08	316500564458109.75	477003388069226.6	289193073744204.0	423367808404956.25	344615472501548.3	318287383551183.6	290979892837277.9	289193073744204.0	423367808404956.25	344615472501548.3	318287383551183.6	290979892837277.9	311870214186256.5	311870214186256.5	289260048450184.7	289260048450184.7	310150369799163.3
3.6800000000000005e-08	307429212170998.44	466744681670718.06	279743438373062.66	413057837415811.75	333964013181738.3	307962942724767.8	280277168926832.0	279743438373062.66	413057837415811.75	333964013181738.3	307962942724767.8	280277168926832.0	301462261684889.94	301462261684889.94	279826123199092.06	279826123199092.06	301011215957150.0
3.76e-08	297896891978523.3	455203120204745.2	269794386659459.0	401537774002915.7	322424932257820.2	296862091375055.06	268759586055990.72	269794386659459.0	401537774002915.7	322424932257820.2	296862091375055.06	268759586055990.72	290300636986681.1	290300636986681.1	269898982963027.22	269898982963027.22	291440033893717.6
3.85e-08	288422451163337.3	442574253266589.2	259903214318440.66	389063114270523.25	310403385370768.6	285411483219599.3	256892246374702.66	259903214318440.66	389063114270523.25	310403385370768.6	285411483219599.3	256892246374702.66	278850442255684.72	278850442255684.72	260036750315347.66	260036750315347.66	281994946196329.75
3.95e-08	279631813858390.1	429142103243493.44	250772328956211.25	376006766780003.4	298563331675582.75	274287480114271.5	245427995212092.66	250772328956211.25	376006766780003.4	298562918255824.5	274287066694513.25	245427581792334.4	267853360360618.84	267852946940860.6	250944313394917.8	250944313394917.8	273369678543444.0
4.05e-08	272690009273091.75	416422696423986.2	243706083707404.03	363960414448898.9	289288574719069.7	265810218309670.1	236826292743982.38	243706083707404.03	363960414448898.9	289288574719069.7	265810218309670.1	236826292743982.38	259690714320333.56	259690714320333.56	243920237408049.38	243920237408049.38	266784658984400.6
