R	10B1_4A1	10B1_5B1	10B1_6B1	10B2_4A1	10B2_5B2	10B2_6B2	5A2_10B1	5A2_10B2	6A2_10B1	6A2_10B2	10A2_5B1	10A2_6B1	10A2_5B2	10A2_6B2	10A2_6A2
2.69e-08	394309053068563.75	400150736042244.8	382451635560195.8	394309053068563.75	400150736042244.8	382451635560195.8	392124519960682.3	392124519960682.3	356092953228054.5	356092953228054.5	397967443207738.5	380268342725689.5	397967443207738.5	380268342725689.5	353909660393548.2
2.71e-08	395890813794393.2	402823936475448.25	383010584987172.94	395890813794393.2	402823936475448.25	383010584987172.94	393645507338015.7	393645507338015.7	357527121539463.8	357527121539463.8	400681986049258.3	380868634560983.0	400681986049258.3	380868634560983.0	355385171113273.9
2.7400000000000004e-08	397880210717357.9	406165643728013.1	383516616125682.44	397880210717357.9	406165643728013.1	383516616125682.44	395563381885944.56	395563381885944.56	359079942576658.25	359079942576658.25	404065449139297.2	381416421536966.5	404065449139297.2	381416421536966.5	356979747987942.3
2.76e-08	398934442246905.4	407966105818839.2	383627827215895.75	398934442246905.4	407966105818839.2	383627827215895.75	396580405247070.4	396580405247070.4	359747622547095.56	359747622547095.56	405882861623549.8	381544583020606.4	405882861623549.8	381544583020606.4	357664378351806.2
2.7900000000000002e-08	400101538573905.5	410067540680933.0	383462457563831.5	400101538573905.5	410067540680933.0	383462457563831.5	397704092034055.5	397704092034055.5	360253653685602.3	360253653685602.3	407996699205319.56	381391616088218.06	407996699205319.56	381391616088218.06	358182812209988.94
2.81e-08	400604262316737.9	411091592253160.44	383135852504298.7	400604262316737.9	411091592253160.44	383135852504298.7	398184077455136.94	398184077455136.94	360287554467754.44	360287554467754.44	409021164202006.3	381065424453144.6	409021164202006.3	381065424453144.6	358217126416600.3
2.84e-08	400952778858507.75	412100760558964.4	382331742565739.25	400952778858507.75	412100760558964.4	382331742565739.25	398506961699237.06	398506961699237.06	359925394928232.4	359925394928232.4	410020823754648.44	380251805761423.3	410020823754648.44	380251805761423.3	357845458123916.4
2.8700000000000002e-08	400834126132728.06	412524106866738.0	381168780488030.5	400834126132728.06	412524106866738.0	381169193912489.8	398368878042679.8	398368878042679.8	359112603085429.7	359112603085429.7	410422258580187.6	379066932201480.1	410422258580187.6	379067345625939.4	357010754798879.25
2.89e-08	400507107644037.7	412505089355718.7	380204675410679.4	400507107644037.7	412505089355718.7	380204675410679.4	398032350796126.56	398032350796126.56	358342393929022.3	358342393929022.3	410382569865007.4	378082155919968.06	410382569865007.4	378082155919968.06	356219874438311.0
2.92e-08	399665789541754.9	412060244994865.56	378491445810234.0	399665789541754.9	412060244994865.56	378491445810234.0	397180283662605.6	397180283662605.6	356874324840156.5	356874324840156.5	409896796515598.9	376327997330967.3	409896796515598.9	376327997330967.3	354710876360889.8
2.96e-08	397940157216935.3	410763333495793.25	375749203548750.6	397939743792476.0	410762920071333.94	375749203548750.6	395445556009086.2	395445142584626.94	354395020323198.5	354394606898739.2	408525882094737.6	373511752147695.0	408525882094737.6	373512165572154.3	352157568922142.9
2.99e-08	396238503491945.56	409323377241951.0	373385244366590.7	396238503491945.56	409323377241951.0	373385244366590.7	393738941190584.8	393738941190584.8	352193536821887.7	352193536821887.7	407014403470563.4	371076270595203.06	407014403470563.4	371076270595203.06	349884563050500.1
3.02e-08	394228435364825.4	407532837333441.7	370790181095065.4	394228435364825.4	407532837333441.7	370790181095065.4	391725152252733.06	391725152252733.06	349739451182833.06	349739451182833.06	405137044491431.6	368394388253055.3	405137044491431.6	368394388253055.3	347343658340823.0
3.06e-08	391131888623842.9	404676903434989.1	367022646987971.06	391131888623842.9	404676903434989.1	367022646987971.06	388625298116078.9	388625298116078.9	346135633029965.8	346135633029965.8	402136825569532.3	364482569122514.25	402136825569532.3	364482569122514.25	343595555164509.0
3.09e-08	388545093832101.5	402238114482124.44	364006304521566.56	388545093832101.5	402238114482124.44	364006304521566.56	386037676475418.9	386037676475418.9	343228434536176.4	343228434536176.4	399566154322296.2	361334344361738.25	399566154322296.2	361334344361738.25	340556474376348.1
3.13e-08	384817248440187.44	398671917926842.0	359793099204703.25	384817248440187.44	398671917926842.0	359793099204703.25	382310244507961.44	382310244507961.44	339147938362603.2	339147938362603.2	395786217490830.44	356907398768691.7	395786217490830.44	356907398768691.7	336262237926591.6
3.17e-08	380874835927869.8	394852705804652.56	355450078706362.94	380874835927869.8	394852705804652.56	355450078706362.94	378361630633458.0	378361630633458.0	334931012230307.25	334931012230307.25	391704894468335.9	352302267370046.25	391704894468335.9	352302267370046.25	331783200893990.56
3.2200000000000004e-08	375729359193508.25	389829189187044.1	349913916168298.2	375729359193508.25	389829189187044.1	349913916168298.2	373219874714529.1	373219874714529.1	329540788404124.4	329540788404124.4	386270020838164.94	346354747819419.0	386270020838164.94	346354747819419.0	325981620055245.2
3.26e-08	371572792975849.7	385744972193334.44	345517977376786.44	371572792975849.7	385744972193334.44	345517977376786.44	369066615892542.25	369066615892542.25	325257714405361.44	325257714405361.44	381785195863133.6	341558201046585.7	381785195863133.6	341558201046585.7	321297938075160.7
3.31e-08	366463697560993.94	380699130673730.56	340187700054882.06	366463697560993.94	380699130673730.56	340187286630422.75	363961241297820.25	363961241297820.25	320066761013394.94	320066761013394.94	376142369899206.9	335630939280358.4	376142369899206.9	335630525855899.1	315510000238871.25
3.3599999999999996e-08	361585706235506.4	375861241487879.75	335163356588352.25	361585706235506.4	375861241487879.75	335163356588352.25	359087797636681.2	359087797636681.2	315182568325718.9	315182568325718.9	370600005994255.3	329902121094727.8	370600005994255.3	329902121094727.8	309921332832094.44
3.42e-08	356200443502835.1	370497476808285.3	329685486847329.4	356200443502835.1	370497476808285.3	329685486847329.4	353708736261497.4	353708736261497.4	309875029330269.2	309875029330269.2	364268415426572.7	323456425465616.8	364268415426572.7	323456425465616.8	303645967948556.56
