R	12B1_1A1	12B1_1B1	12B2_1A1	12B2_1B2	1A2_12B1	1A2_12B2	2A2_12B1	2A2_12B2	12A2_1B1	12A2_1B2	12A2_1A2	12A2_2A2
4.46e-08	2731300165771728.5	2727771590809327.0	2731300165771728.5	2727771590809327.0	2731300165771728.5	2731300165771728.5	2726501965305756.5	2726501965305756.5	2723591459420993.5	2723591459420993.5	2727120034383395.0	2722321833917423.0
4.64e-08	2716287495296176.0	2713320350307507.5	2716287495296176.0	2713320350307507.5	2716287495296176.0	2716287495296176.0	2712265705348799.5	2712265705348799.5	2710254810372763.5	2710254810372763.5	2713221955361432.0	2709200165414055.5
4.85e-08	2700994936677975.5	2698490413292505.5	2700994936677975.5	2698490826716965.0	2700994936677975.5	2700994936677975.5	2697609406470344.0	2697609406470344.0	2696669279997521.0	2696669693421980.5	2699173803382991.5	2695788273175360.0
5.11e-08	2685431171840170.0	2683347927640179.5	2685431171840170.0	2683348341064638.5	2685431171840170.0	2685431171840170.0	2682621954868002.0	2682621954868002.0	2682910524910191.5	2682910938334651.0	2684993769110182.0	2682184552138014.0
5.4299999999999997e-08	2671157290285631.0	2669401891423252.0	2671157290285631.0	2669402304847711.5	2671157290285631.0	2671157290285631.0	2668794571376851.5	2668794571376851.5	2670284138518791.5	2670284551943251.0	2672039537381170.0	2669676818472391.0
5.8499999999999994e-08	2659313515775015.0	2657818987539563.5	2659313515775015.0	2657818987539563.5	2659313515775015.0	2659313515775015.0	2657304274496816.5	2657304274496816.5	2659535524530982.5	2659535524530982.5	2661030052766434.0	2659020811488235.0
6.440000000000001e-08	2651503520511690.5	2650154930997523.0	2651503520511690.5	2650154930997523.0	2651503520511690.5	2651503520511690.5	2649692309394327.5	2649692309394327.5	2651613904757686.5	2651613904757686.5	2652962494271854.0	2651151283154491.0
7.37e-08	2647545811303783.5	2646259235406789.0	2647545811303783.5	2646259235406789.0	2647545811303783.5	2647545811303783.5	2645818525281127.0	2645818525281127.0	2646756584636357.0	2646756584636357.0	2648043160533351.5	2646315874510695.0
9.28e-08	2646117017505639.0	2644838296668667.0	2646117017505639.0	2644838296668667.0	2646117017505639.0	2646117017505639.0	2644400067089760.5	2644400067089760.5	2644713856005161.0	2644713856005161.0	2645992576842132.5	2644275626426254.5
1e-06	2645220658866506.0	2645220658866506.0	2645220658866506.0	2645220658866506.0	2645220658866506.0	2645220658866506.0	2645220658866506.0	2645220658866506.0	2645220658866506.0	2645220658866506.0	2645220658866506.0	2645220658866506.0
