7A1_1A1	8A1_1A1	1B1_7A1	1B1_8A1	9B1_1A1	9B1_1B1	1B2_7A1	1B2_8A1	9B2_1A1	9B2_1B2	1A2_9B1	1A2_9B2	2A2_9B1	2A2_9B2	9A2_1B1	9A2_1B2	9A2_1A2	9A2_2A2
2.55e-08	2241917618944975.2	2280681505761468.0	2265824282755663.0	2304588169572155.5	2303656725003573.0	2327563388814261.0	2265824696180122.0	2304588582996615.0	2303656725003573.0	2327563802238720.0	2332598067882868.5	2332598067882868.5	2303656725003573.0	2303656725003573.0	2315712586092538.0	2315712999516997.0	2320747265161145.5	2291805922281850.5
2.57e-08	2246879535369873.0	2286693106051562.0	2267179900485635.5	2306993471167325.0	2310598116164412.5	2330898481280175.0	2267180727334554.5	2306994298016243.5	2310598116164412.5	2330899308129093.5	2335452761507943.0	2335452761507943.0	2310598116164412.5	2310598116164412.5	2318644590030374.5	2318645416879293.5	2323198870258142.5	2298344224914612.0
2.59e-08	2251772409961789.5	2292629049726733.5	2268849307126310.5	2309705946891254.5	2317243082223033.0	2334319979387554.0	2268849720550770.0	2309706360315714.0	2317243082223033.0	2334320392812013.5	2338379390932510.0	2338379390932510.0	2317243082223033.0	2317243082223033.0	2321719225293824.0	2321719638718283.0	2325778636838779.5	2304642328129303.0
2.61e-08	2256599550116399.5	2298486856240221.5	2270794467660339.0	2312681773784161.0	2323639580383802.0	2337834497927741.5	2270794881084798.0	2312682187208620.0	2323639580383802.0	2337834911352201.0	2341393666271919.5	2341393666271919.5	2323639580383802.0	2323639580383802.0	2324931944218526.0	2324932357642985.0	2328491112562704.0	2310737026674586.5
2.63e-08	2261364263224679.0	2304264458474433.0	2272982721583656.0	2315882916833410.0	2329823165112608.0	2341441623471585.0	2272983548432574.5	2315883743682328.5	2329823165112608.0	2341442450320503.5	2344500548619683.5	2344500548619683.5	2329823165112608.0	2329823165112608.0	2328272824622172.0	2328273651471090.5	2331331749770271.0	2316654366263195.0
2.65e-08	2266066549300725.5	2309956068491642.0	2275382235245799.5	2319271754436716.0	2335819468716514.5	2345135154661588.5	2275382648670259.0	2319272167861175.5	2335819468716514.5	2345135568086048.0	2347699211122179.5	2347699211122179.5	2335819468716514.5	2335819468716514.5	2331729463780377.5	2331729877204836.5	2334293520240968.5	2322413777835303.5
2.67e-08	2270708888863094.5	2315562099706902.5	2277964895792950.5	2322818106636759.0	2341648335536661.0	2348904342466517.5	2277965722641869.5	2322818933485677.5	2341648335536661.0	2348905169315436.0	2350984692695292.5	2350984692695292.5	2341648335536661.0	2341648335536661.0	2335285324738283.0	2335286151587202.0	2337365674967058.5	2328029317808427.0
2.69e-08	2275300377268686.0	2321091234038564.0	2280714579690000.5	2326505436459878.5	2347324235438522.5	2352738437859837.0	2280715406538919.0	2326506263308797.0	2347323822014063.0	2352738851284296.0	2354349138274309.5	2354348724849850.0	2347324235438522.5	2347323822014063.0	2338925937635115.5	2338926764484034.0	2340536638049588.0	2333511735213801.0
2.71e-08	2279823237261060.5	2326521560004386.5	2283589531094774.0	2330287853838100.0	2352857090585616.5	2356623384419330.0	2283590357943692.5	2330288680687018.5	2352857090585616.5	2356624211268248.5	2357782212261848.0	2357782212261848.0	2352857090585616.5	2352857090585616.5	2342635178940467.0	2342636005789385.5	2343794006782984.5	2338868885106753.0
2.7400000000000004e-08	2286495902739647.5	2334499818886289.0	2288111150818471.5	2336115066965113.0	2360907698691471.0	2362522946770295.0	2288111977667390.0	2336115893814031.5	2360907285267011.5	2362523360194754.0	2363043447750771.5	2363043034326312.0	2360907698691471.0	2360907285267011.5	2348298676113255.5	2348299502962174.0	2348819177093732.0	2346683428034431.5
2.76e-08	2290869930048922.0	2339707309247223.0	2291236637252792.5	2340074016451093.5	2366116842745543.5	2366483549949414.0	2291237050677252.0	2340074429875553.0	2366116842745543.5	2366483963373873.5	2366605096641708.0	2366605096641708.0	2366116842745543.5	2366116842745543.5	2352117888240140.5	2352118301664600.0	2352239434932434.5	2351751181036270.0
2.7900000000000002e-08	2297318106220085.0	2347350281155947.5	2296053441805325.0	2346085616741187.5	2373704415823740.5	2372439751408980.0	2296053855229784.5	2346086030165647.0	2373704002399281.0	2372439751408980.0	2373704415823740.5	2373704002399281.0	2372007309767803.0	2372006896343343.5	2357883087749978.0	2357883501174437.5	2359147752164738.0	2357450646108801.0
2.81e-08	2301541233719270.5	2352334109053680.5	2299330241469502.0	2350123116803911.5	2378616721346440.0	2376405729096671.0	2299331068313719.5	2350123943648129.0	2378616721346440.0	2376406555940889.0	2378616721346440.0	2378616721346440.0	2375633866242426.5	2375633866242426.5	2361734960380941.5	2361735787225159.0	2363945952630710.5	2360963097526697.0
2.84e-08	2307761199776982.0	2359643447696469.0	2304314482796392.0	2356196730715879.5	2385771852788160.5	2382325135807571.0	2304315309645310.5	2356197557564798.0	2385771852788160.5	2382325962656489.5	2385771852788160.5	2385771852788160.5	2381088997652293.5	2381088997652293.5	2367500986734996.5	2367501813583915.0	2370947703715586.5	2366264848579719.5
2.8700000000000002e-08	2313841841900054.0	2366753929329500.5	2309352055836215.0	2362264143265661.5	2392674382082738.0	2388184596018899.0	2309352882685133.5	2362264970114580.0	2392674382082738.0	2388185422867817.5	2392674382082738.0	2392674382082738.0	2386535860582382.5	2386535860582382.5	2373227324378575.0	2373228151227494.0	2377717110442414.5	2371578588942058.5
2.89e-08	2317816914921143.0	2371385519874731.5	2312723943046094.0	2366292547999683.0	2397137709004692.5	2392044737129644.0	2312724769895013.0	2366293374848601.5	2397137709004692.5	2392045563978562.5	2397137709004692.5	2397137709004692.5	2390149600912870.5	2390149600912870.5	2377009328327639.0	2377010155176557.5	2382102300202688.0	2375114192110866.0
2.92e-08	2323661491866039.0	2378170223292448.0	2317785908110209.0	2372294639536617.5	2403625573895734.5	2397749990139904.0	2317786734959127.5	2372295466385536.0	2403625160471275.0	2397750403564363.0	2403625573895734.5	2403625160471275.0	2395524114619005.0	2395523701194545.5	2382613292425307.0	2382614119274225.5	2388488876181137.5	2380387416904408.0
2.96e-08	2331268909304179.5	2386955486079427.0	2324528442265992.0	2380215019041239.5	2411926717026438.0	2405186249988250.5	2324529269114910.5	2380215845890158.0	2411926717026438.0	2405187076837169.0	2411926717026438.0	2411926717026438.0	2402581677963563.5	2402581677963563.5	2389944542545629.0	2389945369394547.5	2396685009583816.5	2387339970520942.0
2.99e-08	2336771997909010.5	2393289970613621.0	2329520952072666.0	2386038924777276.5	2417827519650778.0	2410576473814433.5	2329521778921584.5	2386039751626195.0	2417827519650778.0	2410577300663352.0	2417827519650778.0	2417827519650778.0	2407741624544595.5	2407741624544595.5	2395277713838748.5	2395278540687667.0	2402528759675093.0	2392442864568910.5
3.02e-08	2342125840410989.5	2399434693476165.5	2334455582506757.5	2391764435571933.5	2423470759039167.0	2415800501134935.0	2334456409355676.5	2391765262420852.0	2423470759039167.0	2415801327983854.0	2423470759039167.0	2423470759039167.0	2412772582797773.5	2412772582797773.5	2400464532990823.0	2400465359839741.5	2408134790895054.5	2397436614653661.0
3.06e-08	2349030023398703.0	2407335642050007.0	2340921122491105.5	2399226741142409.5	2430587442034387.0	2422478541126789.5	2340921949340024.0	2399227567991328.0	2430587442034387.0	2422479367975708.0	2430587442034387.0	2430587442034387.0	2419244737573467.5	2419244737573467.5	2407125622589253.5	2407126449438172.0	2415234523496851.0	2403891819035931.5
3.09e-08	2354032041967938.5	2413043789031482.0	2345673432879712.0	2404685179943255.5	2435609718383321.5	2427251109295094.5	2345674259728630.5	2404686006792174.0	2435609304958862.0	2427251522719554.0	2435609718383321.5	2435609304958862.0	2423898653015993.0	2423898239591533.5	2411911420330851.5	2411912247179770.0	2420270029419078.0	2408558964051749.5
3.13e-08	2360462854325916.5	2420368010940697.0	2351859911579730.0	2411765068194510.5	2441870613424886.5	2433267670678700.0	2351860738423948.0	2411765895038728.0	2441870613424886.5	2433268497522917.5	2441870613424886.5	2441870613424886.5	2429797801942498.0	2429797801942498.0	2417983793974142.5	2417984620818360.0	2426586736720329.0	2414513925237940.5
