4B1_4A1	5B1_4B1	6B1_4B1	4B2_4A1	5B2_4B2	6B2_4B2	4A2_5B1	4A2_6B1	4A2_5B2	4A2_6B2	5A2_4B1	5A2_4B2	5A2_4A2	6A2_4B1	6A2_4B2	6A2_4A2
Intensities	1.1067460804e-06	1.47384584649e-05	1.355049721e-07	1.1067460804e-06	1.47384584649e-05	1.355123344e-07	1.7962164528999998e-06	1.47719716e-08	1.7962164528999998e-06	1.47719716e-08	1.0981363263999998e-06	1.0981363263999998e-06	1.0000000000000001e-16	6.594739263999999e-07	6.594739263999999e-07	2.5258263577599997e-05
4.05e-08	203611798040977.03	190119701519348.25	228068729376213.12	203611798040977.03	190119701519348.25	228068729376213.12	190215202494540.1	228164230351405.0	190215202494540.1	228164230351405.0	206025368119035.84	206025368119035.84	206120869094227.72	275623666906353.62	275623666906353.62	275719167881545.47
4.17e-08	206466905082040.84	193291078017107.75	230157348085605.66	206466905082040.84	193291078017107.75	230158174935261.62	193386578992299.62	230252849060797.53	193386578992299.62	230253675910453.5	208862697920745.03	208862697920745.03	208958198895936.9	275517003489054.94	275517003489054.94	275612504464246.8
4.3099999999999996e-08	209716832184133.47	196976340738037.16	232404721665296.62	209716832184133.47	196976340738037.16	232404721665296.62	197069361164261.12	232497742091520.6	197069361164261.12	232497742091520.6	212088233005066.94	212088233005066.94	212181253431290.88	274530160091290.62	274530160091290.62	274623180517514.56
4.46e-08	213035387694676.6	200844750328195.88	234526827719841.25	213035387694676.6	200844750328195.88	234526827719841.25	200931569391417.22	234613646783062.56	200931569391417.22	234613646783062.56	215373714567031.66	215373714567031.66	215460533630252.97	272355549149495.56	272355549149495.56	272442368212716.9
4.64e-08	216698325493720.84	205286579203759.25	236595188659745.66	216698325493720.84	205286579203759.25	236595188659745.66	205361408975217.8	236670018431204.22	205361408975217.8	236670018431204.22	218983734101091.7	218983734101091.7	219058563872550.25	268377995593070.25	268377995593070.25	268452825364528.8
4.85e-08	220401365435165.0	210072790348981.12	238227387112317.44	220401365435165.0	210072790348981.12	238227800546565.38	210129016031429.12	238283612794765.44	210129016031429.12	238284026229013.34	222602022075202.84	222602022075202.84	222658247757650.8	262598326233990.88	262598326233990.88	262654551916438.88
5.11e-08	224013038649702.6	215269531698700.9	239021161463812.4	224013038649702.6	215269531698700.9	239021161463812.4	215300125079474.25	239051754844585.75	215300125079474.25	239051754844585.75	226073544527289.72	226073544527289.72	226104137908063.06	255295188954361.12	255295188954361.12	255325782335134.5
5.4299999999999997e-08	226969848028966.34	220460071666583.62	238360096265535.94	226969848028966.34	220460071666583.62	238360096265535.94	220463792480618.3	238363817079570.62	220463792480618.3	238363817079570.62	228812892804839.1	228812892804839.1	228816613618873.78	247655524429710.38	247655524429710.38	247659245243745.06
5.8499999999999994e-08	228830670044196.44	225363281859226.56	236061458101338.3	228830670044196.44	225363281859226.56	236061458101338.3	225347571734591.97	236045747976703.7	225347571734591.97	236045747976703.7	230380597116077.44	230380597116077.44	230364886991442.84	240509901755312.3	240509901755312.3	240494191630677.72
6.440000000000001e-08	229286263432518.6	229367294566979.75	232887187620360.2	229286263432518.6	229367294566979.75	232887187620360.2	229347863628313.22	232867756681693.66	229347863628313.22	232867756681693.66	230533564038781.3	230533564038781.3	230514133100114.78	234653748925462.44	234653748925462.44	234634317986795.88
