R	1s5	1s4	1s3	1s2	2p10	2p9	2p8	2p7	2p6	2p5	2p4	2p3	2p2	2p1
3.36	17200120750.89443	17439439311.058956	17296480659.34239	17653973557.248634	5570574004.839372	941825214.2102741	5942343512.877927	24196473857.625267	20303016631.551987	11190629991.051497	18004559194.653397	17192120844.137943	46859150595.83735	23353884227.8392
3.42	15932048628.37956	16179213066.613503	16023787651.213705	16434035659.008904	5646577947.917335	1234642904.1632986	6230730103.538533	24060253996.88243	20067409221.772472	10936986687.543394	16791143485.74464	16170630733.75008	45242081264.991035	22829846904.877514
3.48	14736899857.216646	14989407195.457197	14822718370.76796	15282255827.092283	5705951514.655108	1510709882.401286	6489398621.5014	23799438691.44122	19765232174.742203	10657928509.206987	15586175332.979689	15172750463.309118	43571655143.76911	22239023347.19005
3.54	13610876648.776796	13864750999.153881	13690168160.113937	14187298448.008804	5746287997.360899	1768148914.224018	6718190225.855454	23360550815.705795	19430102439.42708	10356199111.564987	14405153957.021738	14209411313.296827	41861325749.70355	21593326767.895367
3.61	12382313098.66157	12634728980.510572	12453575823.316324	12985242417.00408	5767683661.359056	2043689854.4209263	6947718282.809547	22513580971.622887	19074987371.2624	9979813531.452135	13073496519.929985	13137900116.197773	39833069791.520355	20785538183.140316
3.68	11242210628.664612	11489278798.503698	11305357923.567614	11857409360.798193	5760752333.156627	2291856172.8944974	7137492283.382602	21291910241.606018	18787178391.632523	9582417357.413929	11804365445.064518	12128164385.253723	37788087189.48008	19934717599.948513
3.76	10041935562.646856	10283251693.169373	10096202092.638731	10671189488.414953	5719212494.959341	2541940983.103985	7306732223.293429	19622278334.811123	18459514274.563766	9110003995.245163	10446210116.162468	11053548530.26249	35456561539.10787	18928664138.586086
3.85	8815884620.08813	9047285099.077065	8861053778.483297	9445090410.889975	5631728539.854832	2781422510.887842	7437792094.39857	17600255759.017914	18010378621.999935	8565678096.258493	9042640146.638361	9949387888.053535	32860947453.68103	17777630386.78944
3.95	7598382313.4155245	7817239014.925825	7634641829.605669	8217234433.887874	5488842089.051432	2997273572.5553102	7510643245.275865	15330004979.978136	17372248743.985134	7957815020.071543	7660947181.993296	8856692816.81263	30050558454.914783	16499305671.274649
4.05	6522307992.529165	6727528265.479382	6550971924.223291	7121940114.652617	5304151061.907923	3162552752.803692	7506960977.011199	13140740033.315607	16579997887.997358	7358688305.872638	6425991405.067038	7930320752.374863	27342984160.19452	15245673815.976593
4.17	5401425518.906867	5589707359.679914	5422681594.839378	5969510470.134823	5037294912.403122	3297538313.866874	7399409862.8180065	10725821836.29149	15449036107.513874	6665916456.189148	5303188376.856392	6930924253.553064	24263572969.18695	13794282492.653944
4.31	4302983221.88939	4471525215.109805	4317640096.450026	4826755804.955183	4679320670.326709	3372359530.1279716	7125680144.744275	8311673784.8962345	13953717488.952164	5911556860.529861	4282574311.0836496	5994184077.06667	20939543639.214767	12217694046.339275
4.46	3342950893.8611097	3491151362.331519	3352524792.79775	3814733698.2483644	4259830889.7676644	3361931593.8709803	6656371439.152645	6285607934.957961	12258531121.676067	5177702450.21362	3505399093.196169	5180474981.714229	17718641891.220737	10668325503.155273
4.64	2442759034.803822	2567190823.5144434	2448058614.481881	2847524556.0620184	3735191889.6081257	3243655486.545975	5901275391.551081	4591066566.303578	10260041368.523901	4406375539.160549	2870123576.6488957	4395704183.93601	14327826323.233496	9016575462.498163
4.85	1662219235.7382956	1763060439.5418925	1664890686.837868	1994971141.0930743	3131588694.6908064	2997706780.852052	4905705563.258788	3369275502.163232	8141191983.364554	3651943743.685799	2372560077.7946477	3667163789.313495	11003556321.722687	7368002279.549649
5.11	998587845.089341	1075318615.6596715	999410940.1009867	1255051814.6253178	2439875794.28693	2597917650.212242	3738845276.8501472	2486758530.7363186	5958559934.392006	2904876487.3728595	1942793639.6038063	2954074480.3879285	7751944936.05349	5700873355.642096
5.43	501033974.63204455	554819159.3574866	500860691.78306735	682326723.6216415	1721881609.1982846	2055881566.172633	2589443274.4558454	1832927268.843019	3950106397.3743997	2204018083.9155145	1542509414.797035	2262616693.677922	4876887603.315139	4122479874.4450645
5.85	175247090.94606975	206303293.87972906	174655043.24143574	280478136.5664434	1025620027.1633064	1395713777.7287042	1564964029.8302693	1260274378.7525094	2242703563.27727	1532184621.7619157	1117628600.5830438	1548068918.1999474	2561799790.9557643	2661485771.600682
6.44	8317593.843107565	22502750.875542518	7797747.92865415	56437379.47057583	444471446.6205038	724829246.2442932	751948068.5038213	696718858.5037234	995151060.8055938	881217347.3213087	652892645.6394578	824380453.8667407	1033032696.2456645	1402077809.2846365
7.37	-26382369.471832484	-22839688.83382732	-26642291.44217902	-14319931.77685887	86665675.16859211	215737601.52463245	213224995.0026436	220190016.8902222	266928351.95369956	308155316.1658551	225292245.79862857	249527829.10859194	258432661.06337833	465698641.090906
9.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
