 R = [25.83, 17.58, 14.03, 11.96, 10.56, 9.55, 8.76, 8.14, 7.62, 7.19, 6.82, 6.5, 6.21, 5.96, 5.74, 5.54, 5.35, 5.19, 5.03, 4.89, 4.76, 4.64, 4.53, 4.42, 4.32, 4.23, 4.14, 4.06, 3.98, 3.9, 3.83, 3.77, 3.7, 3.64, 3.58, 3.53, 3.47, 3.42, 3.37, 3.33, 3.28, 3.24, 3.2, 3.16, 3.12, 3.08, 3.04, 3.01, 2.97, 2.94, 2.91, 2.88, 2.85, 2.82, 2.79, 2.76, 2.73, 2.71, 2.68, 2.66, 2.63, 2.61, 2.59, 2.56, 2.54, 2.52, 2.5, 2.48, 2.46, 2.44, 2.42, 2.4, 2.38, 2.36, 2.35, 2.33, 2.31, 2.3, 2.28, 2.26]
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
  35   3   -529.49943068      0.06111297    13412.75      0.06312345    13854.00      1.7177
  36   3   -529.49855184      0.06199181    13605.63      0.06400230    14046.88      1.7416
 
  37   4   -529.56255414     -0.00201048     -441.25      0.00000000        0.00      0.0000
  38   4   -529.56251259     -0.00196893     -432.13      0.00004155        9.12      0.0011
  39   4   -529.55650169      0.00404196      887.11      0.00605245     1328.36      0.1647
  40   4   -529.51269636      0.04784729    10501.27      0.04985777    10942.52      1.3567
  41   4   -529.50719130      0.05335235    11709.49      0.05536284    12150.74      1.5065
  42   4   -529.50710656      0.05343710    11728.09      0.05544758    12169.34      1.5088
  43   4   -529.50642278      0.05412087    11878.16      0.05613136    12319.41      1.5274
  44   4   -529.50447854      0.05606512    12304.87      0.05807560    12746.12      1.5803
  45   4   -529.50390631      0.05663734    12430.46      0.05864783    12871.71      1.5959
  46   4   -529.50001754      0.06052612    13283.95      0.06253660    13725.20      1.7017
  47   4   -529.49943638      0.06110727    13411.50      0.06311775    13852.75      1.7175
  48   4   -529.49855619      0.06198746    13604.68      0.06399794    14045.93      1.7415
--
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -529.56255488     -0.00201048     -441.25      0.00000000        0.00      0.0000
   2   1   -529.56006055      0.00048384      106.19      0.00249433      547.44      0.0679
   3   1   -529.55326111      0.00728329     1598.50      0.00929377     2039.75      0.2529
   4   1   -529.50718437      0.05336002    11711.17      0.05537050    12152.42      1.5067
   5   1   -529.50645849      0.05408590    11870.48      0.05609638    12311.73      1.5265
   6   1   -529.50642502      0.05411938    11877.83      0.05612986    12319.08      1.5274
   7   1   -529.50391290      0.05663150    12429.18      0.05864198    12870.43      1.5957
   8   1   -529.50386628      0.05667812    12439.41      0.05868860    12880.66      1.5970
   9   1   -529.50007857      0.06046583    13270.71      0.06247631    13711.96      1.7001
  10   1   -529.49944341      0.06110098    13410.12      0.06311147    13851.37      1.7174
  11   1   -529.49941274      0.06113165    13416.85      0.06314213    13858.10      1.7182
  12   1   -529.49202502      0.06851938    15038.26      0.07052986    15479.51      1.9192
 
  13   2   -529.56252394     -0.00197954     -434.46      0.00003094        6.79      0.0008
  14   2   -529.55998904      0.00055535      121.88      0.00256583      563.13      0.0698
  15   2   -529.55308816      0.00745623     1636.45      0.00946671     2077.70      0.2576
  16   2   -529.51269708      0.04784731    10501.27      0.04985779    10942.52      1.3567
  17   2   -529.50714141      0.05340298    11720.60      0.05541346    12161.85      1.5079
  18   2   -529.50711662      0.05342777    11726.04      0.05543825    12167.29      1.5086
  19   2   -529.50642512      0.05411927    11877.81      0.05612975    12319.06      1.5274
  20   2   -529.50451327      0.05603112    12297.41      0.05804161    12738.66      1.5794
  21   2   -529.50390646      0.05663794    12430.59      0.05864842    12871.84      1.5959
  22   2   -529.50006129      0.06048310    13274.51      0.06249358    13715.76      1.7005
  23   2   -529.49942845      0.06111594    13413.40      0.06312642    13854.65      1.7178
  24   2   -529.49855093      0.06199347    13605.99      0.06400395    14047.24      1.7416
 
  25   3   -529.56252394     -0.00197954     -434.46      0.00003094        6.79      0.0008
  26   3   -529.55998905      0.00055534      121.88      0.00256583      563.13      0.0698
  27   3   -529.55308817      0.00745622     1636.45      0.00946670     2077.70      0.2576
  28   3   -529.51269708      0.04784731    10501.27      0.04985779    10942.52      1.3567
  29   3   -529.50714141      0.05340298    11720.60      0.05541346    12161.85      1.5079
  30   3   -529.50711662      0.05342777    11726.04      0.05543825    12167.29      1.5086
  31   3   -529.50642512      0.05411927    11877.81      0.05612975    12319.06      1.5274
  32   3   -529.50451327      0.05603112    12297.41      0.05804160    12738.66      1.5794
  33   3   -529.50390646      0.05663794    12430.59      0.05864842    12871.84      1.5959
  34   3   -529.50006129      0.06048310    13274.51      0.06249358    13715.76      1.7005
  35   3   -529.49942845      0.06111594    13413.40      0.06312643    13854.65      1.7178
  36   3   -529.49855093      0.06199347    13605.99      0.06400395    14047.24      1.7416
 
  37   4   -529.56255488     -0.00201048     -441.25      0.00000000        0.00      0.0000
  38   4   -529.56251334     -0.00196894     -432.13      0.00004154        9.12      0.0011
  39   4   -529.55650244      0.00404196      887.11      0.00605244     1328.36      0.1647
  40   4   -529.51269692      0.04784748    10501.31      0.04985796    10942.56      1.3567
  41   4   -529.50718961      0.05335479    11710.02      0.05536527    12151.27      1.5066
  42   4   -529.50710655      0.05343784    11728.25      0.05544833    12169.50      1.5088
  43   4   -529.50642113      0.05412327    11878.68      0.05613375    12319.93      1.5275
  44   4   -529.50448020      0.05606419    12304.67      0.05807467    12745.92      1.5803
  45   4   -529.50390353      0.05664086    12431.23      0.05865135    12872.48      1.5960
  46   4   -529.50001532      0.06052907    13284.60      0.06253955    13725.85      1.7018
  47   4   -529.49943680      0.06110759    13411.57      0.06311807    13852.82      1.7175
  48   4   -529.49855443      0.06198997    13605.23      0.06400045    14046.47      1.7415
--
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -529.56255597     -0.00201048     -441.25      0.00000000        0.00      0.0000
   2   1   -529.56006159      0.00048390      106.20      0.00249438      547.45      0.0679
