R	1A1	2A1	3A1	4A1	5A1	6A1	7A1	8A1	9A1	10A1	11A1	12A1	1B1	2B1	3B1	4B1	5B1	6B1	7B1	8B1	9B1	10B1	11B1	12B1	1B2	2B2	3B2	4B2	5B2	6B2	7B2	8B2	9B2	10B2	11B2	12B2	1A2	2A2	3A2	4A2	5A2	6A2	7A2	8A2	9A2	10A2	11A2	12A2
2.28	95819.90944819026	95923.94261757012	97199.16922872403	105506.06888907637	105583.31298512568	106307.63852226574	107273.0964459032	107476.76012356079	107721.55773636744	108611.98386825933	109014.95904165239	109751.63880570965	95087.573087038	96195.46785081207	97775.41303825713	105134.28545011597	105531.76936825186	105853.6420816334	106167.65321376974	107066.0353009728	107287.18013290442	107775.95232867601	108665.36229302334	109689.75573904837	95087.573087038	96195.46126656795	97775.40645403796	105134.28545011597	105531.76717350382	105853.63769213733	106167.65321376974	107066.03310622476	107287.18013290442	107775.95013392798	108665.35570877921	109689.7469600562	95051.06128759556	95819.90944819026	96936.99141995343	105114.69514462128	105507.48450044004	105768.21816614739	106316.69843499322	107059.89879031552	107479.20726568036	107714.59380634742	108612.0123999589	109626.93551569714
2.3	95692.22130321231	95848.60136657533	97107.53198644922	105480.37279939698	105565.2348598336	106204.82782659661	107195.61751201311	107382.17972650834	107673.07140111947	108529.110247951	108942.56972442738	109679.31094140484	95037.15537503595	96073.96450089838	97654.51763307674	105055.63232694712	105502.96771256455	105820.36753298153	106063.40056976044	107057.97180308247	107196.98264422173	107685.74606100115	108582.0189970085	109611.34623273741	95037.1531802879	96073.95791665425	97654.51104883262	105055.63232694712	105502.96551781651	105820.36314348545	106063.40056976044	107057.97180308247	107196.98044947369	107685.74606100115	108582.01241276438	109611.33964849329	94999.39476495619	95692.22130321231	96820.7752138788	105039.20904038052	105481.9947169268	105730.20077074645	106213.68362790598	107050.1102218123	107384.6202843838	107625.50905404825	108529.14097439863	109549.05274849187
2.31	95631.72531619016	95811.78669212777	97065.10534572699	105468.35875815166	105557.10771429999	106156.9560203011	107157.58694812392	107338.37917458532	107651.44656581254	108490.69560347899	108910.38157520747	109646.40730487248	95012.70370652272	96016.69698569959	97597.38399740864	105017.83440617562	105489.6280445504	105805.58591665217	106014.72109683456	107054.30218725218	107155.46023896884	107644.68894195868	108543.37390416685	109575.16145047863	95012.70370652272	96016.6925962035	97597.37741316453	105017.83440617562	105489.62365505431	105805.58152715609	106014.72109683456	107054.30218725218	107155.46023896884	107644.68894195868	108543.36731992272	109575.15267148646	94974.41855206038	95631.72531619016	96766.02287793896	105002.77405706962	105470.09260773177	105713.48338816692	106165.68013682781	107045.4398016987	107340.79120078615	107585.21790147327	108490.72632992662	109513.12036208314
2.33	95516.99495336662	95739.94606148887	96986.39735393196	105445.85163485583	105542.52362511965	106067.77250438998	107083.93126230223	107257.17575623878	107611.88626376136	108419.4585280773	108852.42929914384	109586.51048359147	94965.19842285066	95908.7022992495	97489.30591060786	104945.60969492895	105464.86472203991	105779.20287138484	105923.80592609137	107046.32867395668	107079.82489198605	107570.43847989195	108471.68471101801	109508.3577626017	94965.19622810262	95908.69790975342	97489.3081053559	104945.60969492895	105464.86691678796	105779.20287138484	105923.80592609137	107046.32867395668	107079.82489198605	107570.43847989195	108471.6891005141	109508.36215209779	94926.08365430248	95516.99495336662	96662.76445401876	104932.88675064026	105447.83568551301	105683.9662451921	106076.24861461262	107035.82022866987	107259.58119819548	107513.03050091834	108419.48925452492	109446.82585532758
2.35	95410.0800821044	95670.58110469405	96915.08565714676	105425.2144353939	105529.99601325691	105986.84781882008	107014.38194679673	107183.97438291227	107576.21505214495	108355.12612452345	108802.55588423178	109534.13505788377	94919.40723605128	95808.8808480419	97388.9313833181	104878.08832501649	105442.45416758303	105756.50919463029	105840.932305808	107007.61554397565	107042.55590506826	107506.45943049825	108406.92872144157	109448.43460436915	94919.40504130324	95808.87645854581	97388.93577281416	104878.08832501649	105442.45416758303	105756.50919463029	105840.932305808	107007.61554397565	107042.55590506826	107506.45943049825	108406.9309161896	109448.43899386523	94879.77889686072	95410.0800821044	96567.25787401659	104867.26603100932	105427.48599781988	105658.93077412414	105995.04519624112	107024.91453431199	107186.37543534793	107451.94412714722	108355.15904571912	109387.37895704566
2.36	95359.3638845933	95636.85443829503	96881.92523529321	105415.53999371394	105524.44330510449	105949.29351488153	106981.32248327821	107150.1643161376	107559.55034349345	108325.35219622745	108780.28798827282	109510.58981958791	94897.00765530966	95761.82768211697	97341.43268389015	104846.0911187015	105432.05545962341	105746.36288249577	105802.29160246244	106976.75302149964	107037.69234725181	107478.22401933145	108376.94848697941	109420.83786440823	94897.00546056162	95761.82548736893	97341.43487863819	104846.0911187015	105432.05545962341	105746.36288249577	105802.29160246244	106976.75302149964	107037.69234725181	107478.22401933145	108376.9528764755	109420.84225387935	94857.25202083253	95359.3638845933	96522.1843692777	104836.08307556882	105417.96079888198	105647.8582790399	105957.3109231129	107018.59585969207	107152.54781063883	107425.4974342366	108325.38511739817	109360.01266542944
2.38	95263.06061170096	95571.35662445458	96820.09703728306	105397.37846807115	105514.64815238208	105879.71127818036	106918.77001898839	107087.75670511868	107528.22472955503	108270.222363899	108740.42481121654	109468.42874315409	94853.41340955278	95673.10286817217	97251.46344880412	104785.70925850263	105412.77680810103	105727.69656520277	105730.85699988675	106919.19579978398	107027.82476789395	107429.17143953803	108321.42360032794	109370.02070856211	94853.41121480474	95673.09847870102	97251.46783830019	104785.70925850263	105412.77680810103	105727.69656520277	105730.85699988675	106919.19579978398	107027.82476789395	107429.17143953803	108321.42798982402	109370.02290331015	94813.66435931978	95263.06061170096	96437.0655235199	104777.09707402621	105400.12190095171	105628.23944187057	105887.30729513717	107004.04249698432	107090.08752566692	107380.70924649356	108270.25528509467	109309.64104311129
2.4	95173.15063478707	95508.49470094049	96763.64377295876	105380.62596957287	105506.46613817239	105816.91958655367	106860.98893314721	107031.72702681698	107499.28699958899	108220.5289181766	108705.99143652218	109432.3888141662	94811.28525431463	95591.08080945503	97167.74924069471	104730.03732385716	105395.35930147028	105664.82366794845	105712.68450050376	106867.7246095456	107016.13554910921	107389.71429054496	108271.3526582419	109324.56312319051	94811.28305956659	95591.07641995895	97167.75143544275	104730.03732385716	105395.35930147028	105664.82366794845	105712.68230578066	106867.7246095456	107016.13554910921	107389.71429054496	108271.35485298993	109324.56531793856	94771.90272670506	95173.15063478707	96358.17097826613	104722.57518643104	105383.75567778427	105611.57912271515	105824.14030186993	106986.64254831294	107034.0534578941	107346.24953482271	108220.56183937227	109264.60923853528
2.42	95089.15330437999	95448.28183619108	96711.91799214724	105365.13545017518	105499.7502144814	105760.49924340009	106807.86509895633	106981.54634740374	107472.52645795803	108175.75828841788	108676.14727633876	109401.93890399754	94770.42566244614	95515.2259878428	97089.77209939853	104678.87559286802	105379.67564441964	105605.41846985437	105699.29874283065	106821.98390190129	107002.1418467028	107359.21829071733	108226.2220900789	109283.92959019559	94770.42346772306	95515.22159834673	97089.77648889461	104678.87559286802	105379.67564441964	105605.41846985437	105699.29654808261	106821.98390190129	107002.1418467028	107359.21829071733	108226.22428482694	109283.93178494365	94731.77179061231	95089.15330437999	96284.94326796313	104672.36378059513	105368.70410767043	105597.46690401432	105767.2941779457	106966.5430616969	106983.86838900973	107321.0670157857	108175.79340433664	109224.3817336036
2.44	95010.58138683876	95390.72241972738	96664.38417680054	105350.75108291688	105494.35991758421	105710.02007850278	106759.22074197418	106936.71865424585	107447.87067800174	108135.43860411838	108650.18342759796	109376.55666303849	94730.74903884857	95445.01824844896	97017.06673873008	104632.00678562884	105365.59415216644	105551.54842190343	105687.89264631864	106781.46888520077	106986.02582461244	107336.74408859221	108185.55783063636	109247.63287588651	94730.74684410053	95445.01385895288	97017.06893347812	104632.00678562884	105365.59415216644	105551.54842190343	105687.89264631864	106781.46888520077	106986.02582461244	107336.74408859221	108185.5600253844	109247.63507063455	94693.17059270653	95010.58138683876	96216.8688219685	104626.28947149808	105354.8113635741	105585.56479481931	105716.32558463445	106939.01874834647	106944.45732970057	107303.72632526152	108135.47372006207	109188.47129462537
2.46	94937.02885410015	95335.70671422221	96620.44096637961	105337.33020930007	105490.17453638845	105665.04972682204	106714.78151889518	106896.72598715495	107425.10676938471	108099.13530559011	108627.46780338793	109355.72413117555	94692.18954110568	95379.98791559195	96949.19859887664	104589.20045379491	105353.00728213154	105502.78335387881	105678.24673631332	106745.69452052625	106968.3361694242	107321.05823679353	108148.92751489951	109215.22086254109	94692.18954110568	95379.9857208439	96949.20079362468	104589.20045379491	105353.00728213154	105502.78335387881	105678.24454156528	106745.69452052625	106968.3361694242	107321.05823679353	108148.92970964755	109215.22305728913	94656.01573258708	94937.02885410015	96153.49552256006	104584.15253729271	105341.93917654338	105575.60284137054	105670.82629907504	106899.02169178444	106921.34006689845	107292.61432476244	108099.17042153382	109156.42360915535
2.48	94868.10065179123	95283.07230847023	96579.46944243587	105324.74114451713	105487.07994409579	105625.16899180636	106674.2511389584	106861.09428097832	107404.05476286738	108066.44675419111	108607.41001695971	109338.89262179768	94654.70327430649	95319.69165049183	96885.77043081708	104550.19981204507	105341.81627075288	105458.7128481713	105670.17445943083	106714.20869010559	106949.8256791423	107310.8460822677	108115.9273095282	109186.28313257504	94654.70107955845	95319.68726099575	96885.77482031316	104550.19981204507	105341.81407600484	105458.7128481713	105670.17226468278	106714.20649535755	106949.8256791423	107310.8460822677	108115.92950427624	109186.28532732307	94620.23039417235	94868.10065179123	96094.40197843828	104545.72033483637	105329.95147224961	105567.35279002148	105630.4144354576	106863.44046476285	106898.13062477841	107286.23858674336	108066.48406488287	109127.83045435727
2.5	94803.43684155766	95233.00136638418	96541.54422637781	105312.87195654272	105484.97957189225	105590.12108813459	106637.46938573146	106829.52505020697	107384.92535413694	108037.00642732289	108589.81034639126	109325.7197545099	94618.24414876713	95263.705867126	96826.41790662607	104514.76124352141	105331.91357542638	105418.97257690551	105663.51779391199	106686.58780791622	106931.21203577734	107304.83686689699	108086.1863024029	109160.43780012865	94618.24195401909	95263.70147762992	96826.42010137411	104514.76124352141	105331.91357542638	105418.97257690551	105663.51779391199	106686.58780791622	106931.21203577734	107304.83686689699	108086.18849715094	109160.4399948767	94585.73556655779	94803.43684155766	96039.20191424737	104510.76461050747	105318.73412389446	105560.62150311915	105594.74102909316	106831.86684449542	106875.56204858732	107283.31957416923	108037.0415432666	109102.31213911949
