 R = [9.28, 7.37, 6.44, 5.85, 5.43, 5.11, 4.85, 4.64, 4.46, 4.31, 4.17, 4.05, 3.95, 3.85, 3.76, 3.68, 3.61, 3.54, 3.48, 3.42]
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
   3   1   -529.55321964      0.00730437     1603.12      0.00931477     2044.36      0.2535
   4   1   -529.50702017      0.05350383    11742.73      0.05551424    12183.97      1.5106
   5   1   -529.50630522      0.05421879    11899.65      0.05622919    12340.88      1.5301
   6   1   -529.50617378      0.05435023    11928.50      0.05636063    12369.73      1.5337
   7   1   -529.50373261      0.05679139    12464.27      0.05880180    12905.50      1.6001
   8   1   -529.50349987      0.05702413    12515.35      0.05903454    12956.58      1.6064
   9   1   -529.49986511      0.06065890    13313.09      0.06266930    13754.32      1.7053
  10   1   -529.49945454      0.06106946    13403.20      0.06307987    13844.43      1.7165
  11   1   -529.49888657      0.06163743    13527.85      0.06364784    13969.09      1.7319
  12   1   -529.49165435      0.06886965    15115.14      0.07088006    15556.37      1.9287
 
  13   2   -529.56249826     -0.00197425     -433.30      0.00003615        7.93      0.0010
  14   2   -529.55995999      0.00056402      123.79      0.00257442      565.02      0.0701
  15   2   -529.55305105      0.00747295     1640.12      0.00948336     2081.36      0.2581
  16   2   -529.51255518      0.04796882    10527.94      0.04997923    10969.17      1.3600
  17   2   -529.50710404      0.05341996    11724.33      0.05543037    12165.56      1.5083
  18   2   -529.50684527      0.05367874    11781.12      0.05568914    12222.35      1.5154
  19   2   -529.50615096      0.05437304    11933.50      0.05638345    12374.74      1.5343
  20   2   -529.50425864      0.05626537    12348.82      0.05827578    12790.05      1.5858
  21   2   -529.50360468      0.05691933    12492.35      0.05892973    12933.58      1.6036
  22   2   -529.49997899      0.06054501    13288.09      0.06255542    13729.33      1.7022
  23   2   -529.49914519      0.06137882    13471.09      0.06338922    13912.33      1.7249
  24   2   -529.49821031      0.06231369    13676.27      0.06432410    14117.51      1.7503
 
  25   3   -529.56249826     -0.00197425     -433.30      0.00003615        7.93      0.0010
  26   3   -529.55995999      0.00056401      123.79      0.00257442      565.02      0.0701
  27   3   -529.55305106      0.00747294     1640.12      0.00948335     2081.35      0.2581
  28   3   -529.51255518      0.04796882    10527.94      0.04997923    10969.17      1.3600
  29   3   -529.50710404      0.05341996    11724.33      0.05543037    12165.56      1.5083
  30   3   -529.50684527      0.05367874    11781.12      0.05568915    12222.35      1.5154
  31   3   -529.50615096      0.05437304    11933.50      0.05638345    12374.74      1.5343
  32   3   -529.50425864      0.05626537    12348.82      0.05827577    12790.05      1.5858
  33   3   -529.50360468      0.05691933    12492.35      0.05892973    12933.58      1.6036
  34   3   -529.49997899      0.06054501    13288.09      0.06255542    13729.33      1.7022
  35   3   -529.49914519      0.06137882    13471.09      0.06338922    13912.33      1.7249
  36   3   -529.49821031      0.06231369    13676.27      0.06432410    14117.51      1.7503
 
  37   4   -529.56253441     -0.00201041     -441.23      0.00000000        0.00      0.0000
  38   4   -529.56248581     -0.00196181     -430.57      0.00004860       10.67      0.0013
  39   4   -529.55647856      0.00404544      887.87      0.00605585     1329.11      0.1648
  40   4   -529.51255480      0.04796921    10528.02      0.04997961    10969.26      1.3600
  41   4   -529.50698268      0.05354132    11750.96      0.05555173    12192.20      1.5116
