R	1A1	2A1	3A1	4A1	5A1	6A1	7A1	8A1	9A1	10A1	11A1	12A1	1B1	2B1	3B1	4B1	5B1	6B1	7B1	8B1	9B1	10B1	11B1	12B1	1B2	2B2	3B2	4B2	5B2	6B2	7B2	8B2	9B2	10B2	11B2	12B2	1A2	2A2	3A2	4A2	5A2	6A2	7A2	8A2	9A2	10A2	11A2	12A2
2.1	96810.49502221361	97617.19377750784	98726.35271513055	105991.87159311879	106013.43278075747	107846.84702365777	107904.1167336046	109001.63693162256	109037.35423289792	109972.03742390615	110426.28845511164	111029.37181715529	95786.10377093662	97952.4522485625	99511.13473387792	105944.40142539043	106089.0461802848	106620.17039539512	107600.81596342516	107771.65282068192	108781.44242481921	109293.26604097664	110030.32988564168	111012.95511483282	95786.10377093662	97952.44785906642	99511.12814963379	105944.40142539043	106089.03959604067	106620.17039539512	107600.81596342516	107771.65282068192	108781.44242481921	109293.26604097664	110030.32330139756	111012.94853061365	95766.17327979497	97617.19377750784	98639.74363665053	105913.05166922358	105992.27762118202	106607.35088224252	107600.93667446761	107914.32010916324	109004.21356377675	109231.6748755553	109972.06156613461	110944.57120963886
2.11	96761.74751214837	97491.14291327105	98611.41385141778	105961.83648998056	105985.76580890914	107787.93783822174	107830.79245446266	108889.0464464174	108926.13326939748	109871.60144374608	110315.75664197211	110933.08171275118	95744.80084031317	97828.01671758645	99388.38476805002	105909.21964218796	106054.75765883639	106573.03602384258	107536.84349827559	107655.2325031892	108670.13147672394	109180.41218623113	109929.5910304765	110914.34735831882	95744.80084031317	97828.01232809036	99388.3781838059	105909.21964218796	106054.75107459226	106573.03602384258	107536.84349827559	107655.2325031892	108670.13147672394	109180.41218623113	109929.58664098041	110914.34077409963	95723.94197147373	97491.14291327105	98518.29296063991	105876.18212614986	105962.27104976833	106558.06785407945	107536.70303450077	107798.10390308862	108891.6186890755	109118.67177806776	109871.62558594959	110846.31022304088
2.12	96713.9020428044	97369.70979521982	98501.59313604471	105933.17529806808	105959.56492757953	107676.55226874298	107814.66984815312	108781.31732428068	108820.27407111961	109775.6603039811	110210.46807771083	110841.35009638546	95704.79939425504	97708.26258048916	99270.28327490522	105874.45266606583	106021.48749968059	106524.53871485441	107480.80504100668	107543.59453788532	108563.72798135606	109072.48114742433	109833.35140522744	110820.24102646897	95704.797199507	97708.25819099307	99270.27669066109	105874.45266606583	106021.48091543646	106524.53871485441	107480.80504100668	107543.59453788532	108563.72798135606	109072.47895267629	109833.34701573137	110820.2344422498	95682.99239501043	97369.70979521982	98401.55659970375	105839.77347976553	105933.64277902656	106507.03122362883	107480.42096039891	107686.67882817006	108783.88517746766	109010.595886015	109775.68664093263	110752.54188211489
2.13	96666.88618757123	97252.72323320658	98396.71937883882	105905.8243696632	105934.76868387336	107569.7844454997	107798.28826177436	108678.26520652663	108719.69323766368	109684.03623019453	110110.27571435875	110753.99041467422	95666.02042188268	97593.01864702323	99156.65247997695	105839.83932215687	105989.213755337	106475.47296657272	107433.08028270517	107436.55456608455	108462.05635902197	108969.33026608329	109741.42884593186	110730.48687654125	95666.02042188268	97593.01425752715	99156.64589573283	105839.83932215687	105989.20717109287	106475.47077182468	107433.08028270517	107436.55456608455	108462.05635902197	108969.33026608329	109741.42226168774	110730.48029229713	95643.25212376958	97252.72323320658	98289.35677935048	105803.64137143477	105906.32696656538	106454.99159409694	107432.47014322384	107579.86710999091	108680.82867019257	108907.31112511831	109684.06037239803	110663.12133361495
2.14	96621.0137951692	97140.01642645505	98296.70698470135	105879.72664141665	105911.31123542429	107467.48951519602	107781.46992088473	108579.77596630705	108624.35126366478	109596.5514479198	110015.17077294868	110670.84684058142	95628.42661250435	97482.12031121035	99047.32338779082	105805.0438143102	105957.91886784621	106426.51256612215	107333.94359233745	107391.742236138	108364.93664048213	108870.72031482124	109653.64996766915	110644.89396558084	95628.42661250435	97482.11592173923	99047.3168035467	105805.0438143102	105957.91228360208	106426.51256612215	107333.94359233745	107391.742236138	108364.93664048213	108870.72031482124	109653.64338342502	110644.88738133671	95604.68165228645	97140.01642645505	98181.52669887872	105767.53340530752	105880.26435426254	106402.6008051779	107390.91481680021	107477.4975583287	108582.27797707774	108808.57168384662	109596.5777848963	110577.85763461118
2.15	96575.47939366607	97031.42915850796	98201.25088387917	105851.60974656923	105890.36238199004	107322.4497059537	107877.2464546714	108408.35750129347	108540.47025482901	109512.79334487453	109927.04951426602	110596.33081420133	95591.9543185017	97375.40955136623	98942.13358711652	105769.79618874134	105927.65331636328	106378.43225893742	107235.5904263966	107356.34975729825	108272.20641455617	108776.49107718091	109569.8589434282	110563.31744036672	95591.9543185017	97375.40296712212	98942.12700287241	105769.77204653784	105927.64234264802	106378.42786944134	107235.5904263966	107356.34756257516	108272.20421983309	108776.48888243287	109569.84138546884	110563.30207713044	95567.22172243882	97031.42915850796	98077.90394708313	105731.27839118626	105855.40665766114	106350.62262856623	107355.30505807906	107379.40337245708	108488.06190792564	108714.22612463495	109513.07866189531	110496.60593183269
2.15	96575.47939366607	97031.42696375992	98201.25088387917	105851.60974656923	105890.360187242	107322.44751120565	107877.2464546714	108408.35530654543	108540.47025482901	109512.79115012649	109927.04951426602	110596.32861945328	95591.9543185017	97375.40955136623	98942.13358711652	105769.7939939933	105927.65331636328	106378.43225893742	107235.5904263966	107356.34756257516	108272.20421983309	108776.48888243287	109569.8589434282	110563.31744036672	95591.95212375365	97375.40296712212	98942.12700287241	105769.77204653784	105927.64234264802	106378.4256746933	107235.5904263966	107356.34756257516	108272.20421983309	108776.48888243287	109569.84138546884	110563.30207713044	95567.22172243882	97031.42696375992	98077.90394708313	105731.27839118626	105855.40665766114	106350.62262856623	107355.30505807906	107379.40337245708	108488.0597131776	108714.22612463495	109513.07866189531	110496.60593183269
2.16	96530.61219506839	96926.801212908	98110.2588970294	105831.0669211982	105868.2086128294	107275.51286160009	107745.49144476715	108395.52043018151	108449.22148265805	109433.36547629592	109838.99409794976	110516.43326989125	95556.54867117369	97272.73054047975	98840.9228614968	105733.76284399758	105898.47855380841	106331.87949516664	107141.33485177977	107326.11712703593	108183.69449104658	108686.47575243592	109489.87141452331	110485.5795264074	95556.54867117369	97272.72615098368	98840.91847200072	105733.76284399758	105898.47196956429	106331.8773004186	107141.33485177977	107326.11712703593	108183.69449104658	108686.47355768787	109489.86483027918	110485.57294218823	95530.8240497947	96926.801212908	97978.32830743157	105694.68977561228	105831.68583964676	106299.73743558074	107285.42214112083	107324.85514791039	108398.01366198498	108624.10545205884	109433.39181324746	110419.19722983
2.17	96486.36830441534	96825.9855416113	98023.57519716588	105808.3688549725	105848.42078018567	107185.54362651406	107725.84627064627	108309.49076471024	108369.49293379742	109357.326295973	109757.79287435125	110444.84503507745	95522.1591914152	97173.93623053198	98743.5397734166	105697.01840143744	105868.03083838779	106288.29402837699	107017.0836795144	107360.63170733296	108069.0980077288	108603.66797451893	109413.48326956127	110413.58745827842	95522.1591914152	97173.9318410359	98743.53318917248	105697.01840143744	105868.0264488917	106288.29183362893	107017.0836795144	107360.62951258491	108069.0980077288	108603.66797451893	109413.47668531715	110413.57867928625	95495.44034994711	96825.9855416113	97882.64175826468	105658.30746620445	105806.0029184556	106251.27963203235	107151.82354435915	107359.0931901788	108291.66503526822	108541.407411494	109357.21436392271	110347.55851583621
2.18	96442.71041101518	96728.83729139683	97941.04395730245	105786.69573525857	105829.74787867349	107099.38886050426	107704.72622698957	108227.31946325109	108295.06469728907	109284.789930754	109681.00309079712	110376.80570505148	95488.73759474437	97078.88396302497	98649.83727488194	105658.63667813614	105843.7371915838	106245.3538170373	106964.50414238859	107278.36383703485	108018.71541167045	108518.48328639474	109340.72523496479	110341.031340352	95488.73759474437	97078.87957352889	98649.83069063781	105658.63667813614	105843.73280208773	106245.34942754124	106964.50414238859	107278.36383703485	108018.7132169224	108518.48328639474	109340.71865072066	110341.02256135983	95461.02672796017	96728.83729139683	97790.70164100971	105619.99597479057	105787.40683305	106203.47147338014	107109.19279221882	107276.63657169887	108229.8039160624	108455.94838006428	109284.81626770555	110275.27454646726
