R	1s5	1s4	1s3	1s2	2p10	2p9	2p8	2p7	2p6	2p5	2p4	2p3	2p2	2p1
2.5	224928.51282905042	225973.4767568436	227084.7775775973	223839.9786918998	118585.35492070507	58072.020200161554	86663.9673986592	167257.3905234867	164637.99070933013	131953.4539038387	177324.82183367282	167884.55084325018	253311.75758157065	156762.85361272466
2.52	221603.64207783397	222258.9148815325	223311.16558608058	220222.45221806565	114062.4747608672	58072.020200161554	86663.9673986592	164739.74579565073	162243.83879695166	129761.32765385891	175644.135018463	166419.5923781202	251813.582287802	156762.85361272466
2.54	218383.92931560296	218714.22994639358	219713.6871270584	216768.83524166924	109811.26609071206	58072.020200161554	86663.9673986592	162505.7574910783	160014.8322544398	127736.30682323391	174165.54148192998	165169.17785690085	250465.13435365853	156762.85361272466
2.55	216811.8759923337	217003.52951300898	217976.82539314404	215105.99559966233	107786.33240320648	58072.020200161554	86663.9673986592	161488.16004482648	158965.33524986776	126785.14499486015	173491.27400952444	164611.193365043	249840.9267249352	156762.85361272466
2.57	213739.70392484186	213693.285124875	214618.07159765466	211881.18745969556	103937.38981018281	58072.020200161554	86663.9673986592	159640.98376360105	157000.51533512806	125002.67782157664	172259.27644329827	163612.85531007382	248685.57359637087	156762.85361272466
2.59	210759.42381078957	210525.15362684533	211403.068210377	208794.15758918817	100351.75308114082	58072.020200161554	86663.9673986592	158026.80084571292	155213.97355859267	123374.21757315488	171160.2694949819	162745.0443140241	247639.63108672417	156762.85361272466
2.61	207866.13090615647	207488.36214762644	208320.10187246048	205833.97583308874	97024.75541695187	58072.020200161554	86663.9673986592	156626.4635303339	153602.2004852804	121892.9055419576	170173.14203116953	161983.16066696803	246688.88159013	156762.85361272466
2.63	205055.16244524432	204572.46606248798	205358.24335867888	202990.83800250967	93951.08448147564	58072.020200161554	86663.9673986592	155677.66307546216	152159.02960094746	120551.5889156362	169279.30816744413	161306.63979566787	245820.0868432021	156762.85361272466
2.65	202322.13450652434	201767.49869188454	202507.47577955644	200255.00721023185	91124.15324329512	58072.020200161554	86663.9673986592	155677.66307546216	150875.7564167079	119339.56089574836	168462.2529129152	160697.9148772119	245021.202393162	156762.85361272466
2.67	199662.43682322808	199064.24581127192	199758.45922138437	197617.84833953215	88537.28752768377	58072.020200161554	86663.9673986592	155677.66307546216	149742.84676642658	118249.1961491668	167707.3850922387	160141.5739133323	244280.94393063794	156762.85361272466
2.69	197072.04077354504	196456.67706045002	197102.63031712006	195078.79831855738	86182.64355710393	58072.020200161554	86663.9673986592	155677.66307546216	148752.4755855303	117290.6594791401	167001.71366558791	159626.1334422111	243589.4225458783	156762.85361272466
2.71	194546.81171618946	193931.4645486596	194531.7434305706	192615.7488537197	84051.24778570177	58072.020200161554	86663.9673986592	155677.66307546216	147889.15052251352	116416.67067648622	166333.2769906169	159136.6109453605	242936.85068302508	156762.85361272466
2.74	190872.02936676558	190286.36181780475	190818.72355899317	189062.0967073049	81254.72998344041	58072.020200161554	86663.9673986592	155677.66307546216	146813.61300296325	115281.13259024537	165378.89897607788	158433.1720281459	242013.521897712	156762.85361272466
2.76	188492.85687327659	187942.38278867034	188429.83535876017	186778.07853668893	79640.73702458688	58072.020200161554	86663.9673986592	155677.66307546216	146227.45972016192	114627.92306208157	164760.6355960101	157971.17194973605	241423.68902952818	156762.85361272466
2.79	185020.86356502952	184539.7435144964	184960.8359240144	183465.30553341797	77570.0665282382	58072.020200161554	86663.9673986592	155677.66307546216	145519.42119321655	113782.98013039699	163841.24196551726	157271.05936136143	240561.34057862175	156762.85361272466
2.81	182765.69658635772	182339.20485160835	182716.7039980217	181324.93775320653	76406.69930268706	58072.020200161554	86663.9673986592	155677.66307546216	145147.61789191305	113298.41889838621	163223.64194381703	156790.3936887605	239992.9601358764	156762.85361272466
2.84	179464.48469090063	179128.03473848975	179441.3500677104	178204.8397430932	75945.26753760932	58072.020200161554	86663.9673986592	155677.66307546216	144717.94522285645	112670.24404214582	162275.66925504743	156035.57380327905	239137.57974408183	156762.85361272466
2.87	176252.29572924314	176011.7913633202	176262.4547042022	175181.41878405228	75945.26753760932	58072.020200161554	86663.9673986592	155677.66307546216	144417.18864632456	112140.64331099499	161286.98882656833	155227.36996234374	238266.0988475967	156762.85361272466
2.89	174155.8682378665	173980.82800262282	174190.48214402495	173213.32926866933	75945.26753760932	58072.020200161554	86663.9673986592	155677.66307546216	144275.73357477615	111832.1384966039	160598.4393405776	154652.9379080805	237670.1557461166	156762.85361272466
